Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes
767 E 237th St,767 E 237th St,Wakefield,Bronx,"$445,500 ",$132 ,,5,,2,2,,"3,373",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$445,500 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040300591001"" target=""_blank"">Public Record Only</a>",3/31/20,,,10466,21' x 58',"2,500 SF / 25' x 100'",,1925,,2,
2733 Kingsland Ave,2733 Kingsland Ave,Pelham Gardens,Bronx,"$520,000 ",$401 ,7,3,2,1.5,1,1,"1,296",,$331 ,$331 ,House/Building/Single Family,Attached/Single Family,Townhouse/Single Family,Sold,50,1/17/20,9/9/19,"$525,000 ","$525,000 ",10/28/19,"$520,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012700868001"" target=""_blank"">Verified by Public Record</a>",1/14/20,,,10469,18' x 36',"2,300 SF / 23' x 100'","Porch
Private Outdoor Space
Back Yard",1955,,1,
2928 E 196th St,2928 E 196th St,Pelham Bay,Bronx,"$765,000 ",$414 ,,4,2,2,2,,"1,849",,$502 ,$502 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,105,2/27/20,7/19/19,"$799,000 ","$799,000 ",11/1/19,"$765,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030201102001"" target=""_blank"">Verified by Public Record</a>",2/27/20,,,10461,21.5' x 43',"2,652 SF / 24.67' x 107.5'","Deck
Private Outdoor Space",1960,,2,
182 Fordham St,182 Fordham St,City Island,Bronx,"$525,000 ",$209 ,,,,,,,"2,509",,,,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$525,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042700737001"" target=""_blank"">Public Record Only</a>",3/27/20,,,10464,48.67' x 48.33',"7,360 SF / 80' x 92'",,1950,,1,
3647 Holland Ave,3647 Holland Ave,Williamsbridge,Bronx,"$525,000 ",$124 ,,6,,2,2,,"4,232",,$555 ,$556 ,House/Building,Three Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$525,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012800776001"" target=""_blank"">Public Record Only</a>",1/17/20,,,10467,21' x 52',"1,995 SF / 21' x 95'",,1950,,3,
1462 Hicks St,1462 Hicks St,Williamsbridge,Bronx,"$725,000 ",$229 ,,6,4,4,4,,"3,168",,$445 ,$445 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,95,1/13/20,6/7/19,"$749,000 ","$749,000 ",9/10/19,"$725,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011500216001"" target=""_blank"">Verified by Public Record</a>",1/13/20,,,10469,20.7' x 51',"1,966 SF / 20.7' x 95'",Private Outdoor Space,2004,,2,
1521 Bryant Ave,1521 Bryant Ave,Crotona Park East,Bronx,"$150,000 ",$69 ,,7,,5,,,"2,184",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$150,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600523001"" target=""_blank"">Public Record Only</a>",1/30/20,,,10460,21' x 55',"2,500 SF / 25' x 100'",,1910,,2,
860 E 175th St,860 E 175th St,Crotona Park East,Bronx,"$381,987 ",$156 ,,6,,4,4,,"2,453",,$145 ,$145 ,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$381,987 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112301707002"" target=""_blank"">Public Record Only</a>",2/14/20,,,10460,19' x 42',"1,993 SF / 20.54' x 97.07'",,1901,,1,
3240 Olinville Ave,3240 Olinville Ave,Olinville,Bronx,"$655,000 ",,15,7,3,3,3,,,,$455 ,$456 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,101,2/10/20,6/10/19,"$699,000 ","$699,000 ",9/19/19,"$655,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020400499001"" target=""_blank"">Verified by Public Record</a>",1/28/20,,,10467,21.33' x 50',"2,570 SF / 21.33' x 120.5'",,1970,,2,
800 S Oak Dr,800 S Oak Dr,Olinville,Bronx,"$750,000 ",$374 ,,6,4,4,4,,"2,004",,$574 ,$575 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Detached,Townhouse/Multi Family,Sold,35,3/16/20,1/13/20,"$779,900 ","$779,900 ",2/17/20,"$750,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041700431001"" target=""_blank"">Verified by Public Record</a>",3/16/20,,,10467,34' x 29.7',"3,159 SF / 57.44' x 55'",,2008,,2,
758 E 214th St,758 E 214th St,Williamsbridge,Bronx,"$750,000 ",$235 ,,6,4,4,4,,"3,189",,$445 ,$445 ,House/Building/Multi Family/Multi-Family 2-4,Attached/Three Family/All Multi Family,Townhouse/Multi Family,Sold,54,3/18/20,11/16/19,"$750,000 ","$750,000 ",1/9/20,"$750,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020032000440001"" target=""_blank"">Verified by Public Record</a>",3/16/20,,,10467,20.83' x 51.03',"2,083 SF / 20.83' x 100.01'",,2005,,3,
2015 Camp St,2015 Camp St,Wakefield,Bronx,"$783,000 ",$223 ,,9,3,3,3,,"3,515",,$428 ,$429 ,House/Building/Multi Family/Multi-Family 2-4,Three Family/All Multi Family/Detached,Townhouse/Multi Family,Sold,205,4/1/20,9/9/19,"$849,000 ","$849,000 ",,"$783,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011500332001"" target=""_blank"">Verified by Public Record</a>",1/3/20,,,10466,20' x 50',"3,562 SF / 37.5' x 95'",,1920,,3,
1631 Taylor Ave,1631 Taylor Ave,Van Nest,Bronx,"$950,000 ",$203 ,,Studio,,,,,"4,680",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$950,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011400900001"" target=""_blank"">Public Record Only</a>",1/13/20,,,10460,20' x 78',"2,375 SF / 25' x 95'",,1928,,6,
4384 Carpenter Ave,4384 Carpenter Ave,Wakefield,Bronx,"$440,000 ",$180 ,,,,,,,"2,442",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$440,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022600638001"" target=""_blank"">Public Record Only</a>",2/20/20,,,10466,21' x 54',"2,500 SF / 25' x 100'",,1901,,2,
687 E 219th St,687 E 219th St,Williamsbridge,Bronx,"$783,050 ",$240 ,,9,3,3,3,,"3,259",,$541 ,$541 ,House/Building/Multi Family/Multi-Family 2-4,Attached/Three Family/All Multi Family,Townhouse/Multi Family,Sold,44,2/25/20,9/11/19,"$765,000 ","$765,000 ",10/25/19,"$783,050 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022801091001"" target=""_blank"">Verified by Public Record</a>",2/20/20,,,10467,18.75' x 61.5',"2,144 SF / 18.75' x 114.39'",,2005,,3,
3530 Dekalb Ave,3530 Dekalb Ave,Norwood,Bronx,"$8,048,773 ",$163 ,,,,,,,"49,400",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$8,048,773 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021200215001"" target=""_blank"">Public Record Only</a>",2/6/20,,,10467,125' x 85',"12,687 SF / 125' x 101.5'",,1936,,49,
2440 E Tremont Ave,2440 E Tremont Ave,Westchester Village,Bronx,"$580,000 ",$179 ,,,,,,,"3,233",,,,Mixed Use,Single Family/Two Family/Three Family/All Multi Family,Mixed Use/Multi Family/Townhouse,Sold,,,,,,,"$580,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022500524001"" target=""_blank"">Public Record Only</a>",2/17/20,,,10461,21' x 45',"1,998 SF / 28.04' x 71.28'",,1915,,3,
2515 E Tremont Ave,2515 E Tremont Ave,Westchester Village,Bronx,"$499,999 ",$133 ,,,,,,,"3,751",,,,Mixed Use,Single Family/Two Family/Three Family/All Multi Family,Mixed Use/Multi Family/Townhouse,Sold,,,,,,,"$499,999 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020032400657001"" target=""_blank"">Public Record Only</a>",3/13/20,,,10461,25' x 50',"1,702 SF / 25' x 68.08'",,1925,,3,
