Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes
"2187 Holland Ave, Unit 5H",2187 Holland Ave,Pelham Parkway,Bronx,"$102,000 ",$131 ,3,1,1,1,1,,780,"$1,001 ","$1,001 ",,Co-op/Co-Operative,Attached,Co-op,Sold,305,4/7/20,9/21/18,"$118,000 ","$118,000 ",11/22/19,"$102,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041500442001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10462,,,,1930,,73,
"1601 Metropolitan Ave, Unit 5C",1601 Metropolitan Ave,Parkchester,Bronx,"$270,000 ",$322 ,5,2,1,1,1,,839,$889 ,$944 ,$56 ,Condominium/Condo,,Condo,Sold,31,4/5/20,12/3/19,"$279,999 ","$279,999 ",1/3/20,"$270,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040600451001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10462,,,,,,,
1639 Radcliff Ave,1639 Radcliff Ave,Morris Park,Bronx,"$550,000 ",$292 ,7,3,3,2.5,2,1,"1,881",,$380 ,$380 ,Townhouse,,Townhouse,Sold,70,4/2/20,12/19/19,"$599,500 ","$599,500 ",2/27/20,"$550,000 ",Unverified,4/1/20,,,10462,,"1,800 SF / 18' x 100'",,1945,,1,
27 Sigma Pl,27 Sigma Pl,North Riverdale,Bronx,"$2,118,000 ",$530 ,12,5,,4.5,,,"4,000",,"$1,598 ","$1,598 ",House/Building,Single Family,Townhouse/Single Family,Sold,307,7/27/20,2/14/19,"$2,350,000 ","$2,350,000 ",12/19/19,"$2,118,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040600151001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10471,37.17' x 42.58',"2,760 SF / 20' x 138'","Balcony
Private Terrace
Private Patio
Common Outdoor Space
Private Outdoor Space",1970,,1,
"3135 Johnson Ave, Unit 16B",3135 Johnson Ave,Spuyten Duyvil,Bronx,"$525,000 ",$438 ,5,2,2,2,2,,"1,200","$1,408 ","$1,408 ",,Co-op,,Co-op,Sold,181,4/5/20,11/13/18,,"$530,000 ",11/19/19,"$525,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040300101001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10463,,,"Balcony
Common Outdoor Space
Private Outdoor Space",1953,Full-Time Doorman,122,
4207 Kepler Ave,4207 Kepler Ave,Woodlawn Heights,Bronx,"$729,000 ",$405 ,10,4,2,2,2,,"1,800",,$505 ,$506 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,115,4/1/20,6/21/19,"$729,000 ","$729,000 ",8/21/19,"$729,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042600022001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10470,20' x 32',"2,500 SF / 25' x 100'",Porch,1920,,1,
2535 Belmont Ave,2535 Belmont Ave,Fordham Manor,Bronx,"$650,000 ",$325 ,,,,,,,"2,000",,,,House/Building,Three Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$650,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040700603002"" target=""_blank"">Public Record Only</a>",4/1/20,,,10458,20' x 50',"2,185 SF / 25' x 87.42'",,1920,,3,
2429 Morgan Ave,2429 Morgan Ave,Pelham Gardens,Bronx,"$575,000 ",$318 ,7,3,3,2.5,2,1,"1,810",,$432 ,$433 ,House/Building/Single Family,Attached/Single Family,Townhouse/Single Family,Sold,49,4/1/20,9/30/19,"$595,000 ","$595,000 ",1/9/20,"$575,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300806001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10469,20' x 35',"2,500 SF / 25' x 100'",,1955,,1,
441 White Plains Rd,441 White Plains Rd,Harding Park,Bronx,"$790,000 ",$263 ,,6,2,2,2,,"3,000",,$583 ,$583 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,14,4/2/20,2/7/20,"$850,000 ","$850,000 ",2/21/20,"$790,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041000031001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10473,20' x 50',"2,000 SF / 20' x 100'",,1970,,4,
441 White Plains Rd,441 White Plains Rd,Harding Park,Bronx,"$790,000 ",$263 ,,6,2,2,2,,"3,000",,$583 ,$583 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,42,2/4/20,7/16/19,"$899,000 ","$850,000 ",,"$790,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041000031001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10473,20' x 50',"2,000 SF / 20' x 100'",,1970,,4,
"787 E 160th St, Unit 6",787 E 160th St,Woodstock,Bronx,"$335,000 ",$290 ,6,3,2,1.5,1,1,"1,157",$225 ,$396 ,$172 ,Condominium/Condo,Attached,Condo,Sold,53,4/2/20,9/6/19,"$339,000 ","$339,000 ",1/10/20,"$335,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300465001"" target=""_blank"">Verified by Public Record</a>",4/2/20,,,10456,,,Private Outdoor Space,1993,,24,
"3601 Johnson Ave, Unit 1J",3601 Johnson Ave,Central Riverdale,Bronx,"$204,000 ",$240 ,4,1,1,1,,,850,$678 ,$678 ,,Co-op,,Co-op,Sold,,4/19/20,,,"$199,999 ",11/5/19,"$204,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020032900012001"" target=""_blank"">Verified by Public Record</a>",4/2/20,,,10463,,,"Balcony
Common Outdoor Space",1955,,90,
"1680 Metropolitan Ave, Unit 5E",1680 Metropolitan Ave,Parkchester,Bronx,"$170,000 ",$277 ,,,,,,,613,,,,Condo,,Condo,Sold,,,,,,,"$170,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041500018001"" target=""_blank"">Public Record Only</a>",4/2/20,,,10462,,,,,,,
626 E 226th St,626 E 226th St,Wakefield,Bronx,"$655,000 ",$218 ,,6,3,3,3,,"3,000",,$533 ,$533 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,47,4/3/20,9/23/19,"$674,999 ","$674,999 ",11/9/19,"$655,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041600482002"" target=""_blank"">Verified by Public Record</a>",4/2/20,,,10466,20' x 41',"1,280 SF / 20' x 64'",,2006,,2,
1110 Pierce Ave,1110 Pierce Ave,Morris Park,Bronx,"$950,000 ",$304 ,,4,4,4,4,,"3,120",,$548 ,$548 ,House/Building/Multi Family,Three Family/All Multi Family,Townhouse/Multi Family,Sold,118,4/3/20,7/16/19,"$990,000 ","$990,000 ",1/15/20,"$950,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040800691003"" target=""_blank"">Verified by Public Record</a>",4/2/20,,,10461,20' x 52',"2,500 SF / 25' x 100'","Deck
Private Outdoor Space",1925,,3,
1040 E 215th St,1040 E 215th St,Williamsbridge,Bronx,"$540,800 ",$292 ,6,3,3,2.5,2,1,"1,850",,$395 ,$396 ,House/Building/Single Family,Attached/Single Family,Townhouse/Single Family,Sold,51,4/3/20,1/14/20,"$529,000 ","$529,000 ",3/4/20,"$540,800 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300058001"" target=""_blank"">Verified by Public Record</a>",4/2/20,,,10469,19.83' x 32',"1,883 SF / 19.83' x 95'","Porch
Private Outdoor Space
Back Yard",1945,,1,
959 E 221st St,959 E 221st St,Williamsbridge,Bronx,"$652,000 ",$333 ,,Studio,,,,,"1,960",,$344 ,$345 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family/Single Family,Sold,62,4/7/20,12/13/19,"$695,000 ","$695,000 ",2/13/20,"$652,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041600613001"" target=""_blank"">Verified by Public Record</a>",4/2/20,,,10469,20' x 30',"1,988 SF / 20' x 99.42'",,1935,,2,
2424 Hughes Ave,2424 Hughes Ave,Belmont,Bronx,"$895,000 ",$221 ,,,,,,,"4,044",,,,Mixed Use,Single Family/Two Family/Three Family/All Multi Family,Mixed Use/Multi Family/Townhouse,Sold,,,,,,,"$895,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041700593003"" target=""_blank"">Public Record Only</a>",4/2/20,,,10458,20' x 55',"2,316 SF / 26.5' x 87.42'",,1899,,3,
"2244 Bronx Park E, Unit 1B",2244 Bronx Park E,Bronxwood,Bronx,"$310,000 ",$229 ,5,2,2,2,2,,"1,356",$837 ,$837 ,,Co-op/Co-Operative,Attached,Co-op,Sold,156,4/3/20,8/5/19,"$325,000 ","$325,000 ",1/15/20,"$310,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040400004001"" target=""_blank"">Verified by Public Record</a>",4/3/20,,,10467,,,,1956,,68,
"2187 Holland Ave, Unit 5J",2187 Holland Ave,Bronx,Out Of Area Town,"$295,000 ",,5,3,1,1,1,,,"$1,390 ","$1,390 ",,Co-op/Residential/Co-Operative,Co-Op,Co-op/Co-Op/Single Family,Sold,56,4/22/20,11/21/19,"$299,000 ","$299,000 ",1/16/20,"$295,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040900426001"" target=""_blank"">Verified by Public Record</a>",4/3/20,,,10462,173' x 87',,,1930,,73,
3039 Matthews Ave,3039 Matthews Ave,Olinville,Bronx,"$700,000 ",$253 ,,5,2,2,2,,"2,772",,$476 ,$477 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Detached,Townhouse/Multi Family,Sold,21,4/3/20,1/15/20,"$749,000 ","$749,000 ",2/5/20,"$700,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041500420001"" target=""_blank"">Verified by Public Record</a>",4/3/20,,,10467,21' x 48',"2,475 SF / 24.75' x 100'",,1965,,2,
1473 St Lawrence Ave,1473 St Lawrence Ave,Stratton Park,Bronx,"$700,000 ",$224 ,,7,2,2,2,,"3,120",,$457 ,$457 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Multi-Family/Detached/Single Family,Townhouse/Multi Family/Single Family,Sold,114,4/7/20,10/9/19,"$775,000 ","$775,000 ",1/31/20,"$700,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020052000699001"" target=""_blank"">Verified by Public Record</a>",4/3/20,,,10460,20' x 50',"2,375 SF / 25' x 95'",,1899,,2,
1628 Taylor Ave,1628 Taylor Ave,Van Nest,Bronx,"$700,000 ",$247 ,,6,3,3,3,,"2,838",,$447 ,$447 ,House/Building/Multi Family/Multi-Family 2-4,Three Family/All Multi Family/Detached,Townhouse/Multi Family,Sold,60,4/15/20,12/20/19,"$699,999 ","$699,999 ",2/18/20,"$700,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041100049002"" target=""_blank"">Verified by Public Record</a>",4/3/20,,,10460,21' x 48',"2,375 SF / 25' x 95'",,1899,,3,
3331 Wilson Ave,3331 Wilson Ave,Baychester,Bronx,"$506,000 ",$291 ,7,4,2,2,2,,"1,738",,$386 ,$387 ,House/Building/Single Family,Attached/Single Family,Townhouse/Single Family,Sold,91,6/1/20,10/10/19,"$528,888 ","$528,888 ",,"$506,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041600085001"" target=""_blank"">Verified by Public Record</a>",4/3/20,,,10469,19' x 34',"1,900 SF / 19' x 100'",Private Outdoor Space,1940,,1,
3251 Eastchester Rd,3251 Eastchester Rd,Baychester,Bronx,"$730,000 ",$495 ,,4,,2,2,,"1,475",,$384 ,$384 ,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$730,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042000570001"" target=""_blank"">Public Record Only</a>",4/3/20,,,10469,22' x 46',"2,200 SF / 22' x 100'",,1955,,2,
2225 Young Ave,2225 Young Ave,Pelham Gardens,Bronx,"$510,000 ",$310 ,,3,,2,2,,"1,647",,$233 ,$233 ,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$510,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041700130001"" target=""_blank"">Public Record Only</a>",4/3/20,,,10469,18' x 35',"1,800 SF / 18' x 100'",,1945,,1,
603 Walton Ave,603 Walton Ave,Concourse Village,Bronx,"$1,140,000 ",$480 ,,4,,3.5,3,1,"2,376",,$184 ,$184 ,House/Building,Three Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$1,140,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040700163003"" target=""_blank"">Public Record Only</a>",4/3/20,,,10451,16.5' x 36',"1,650 SF / 16.5' x 100'",,1901,,3,
3236 Schley Ave,3236 Schley Ave,Throgs Neck,Bronx,"$400,000 ",$684 ,,,,,,,585,,$189 ,$189 ,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$400,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040600483001"" target=""_blank"">Public Record Only</a>",4/3/20,,,10465,18' x 25',"14,412 SF / 56.08' x 257'",,1915,,1,
651 Minnieford Ave,651 Minnieford Ave,City Island,Bronx,"$451,675 ",$245 ,6,3,3,2.5,2,1,"1,840",,$510 ,$510 ,Townhouse/House/Building/Single Family,Attached/Single Family,Townhouse/Single Family,Sold,118,4/6/20,9/20/19,"$487,500 ","$487,500 ",2/13/20,"$451,675 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042300248001"" target=""_blank"">Verified by Public Record</a>",4/6/20,,,10464,20' x 34',"1,840 SF / 20' x 92'","Deck
Private Outdoor Space",1999,,1,
721 E 219th St,721 E 219th St,Williamsbridge,Bronx,"$610,000 ",$109 ,,11,6,6,6,,"5,600",,$506 ,$506 ,House/Building/Multi Family/Multi-Family 2-4,Attached/Three Family/All Multi Family,Townhouse/Multi Family,Sold,3,4/17/20,7/20/17,"$650,000 ","$695,000 ",7/23/17,"$610,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041400286001"" target=""_blank"">Verified by Public Record</a>",4/6/20,,,10467,25.03' x 60',"2,861 SF / 25.03' x 114.31'",Barbecue Area,2009,,3,
1488 St Lawrence Ave,1488 St Lawrence Ave,Stratton Park,Bronx,"$600,000 ",$306 ,,,,,,,"1,958",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$600,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300472002"" target=""_blank"">Public Record Only</a>",4/6/20,,,10460,22' x 45',"2,375 SF / 25' x 95'",,1925,,2,
3127 Gunther Ave,3127 Gunther Ave,Baychester,Bronx,"$605,000 ",$359 ,,,,,,,"1,683",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$605,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041000252001"" target=""_blank"">Public Record Only</a>",4/6/20,,,10469,17' x 33',"1,646 SF / 17.33' x 95'",,1960,,2,
1134 Virginia Ave,1134 Virginia Ave,Unionport,Bronx,"$600,000 ",$281 ,,,,,,,"2,132",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$600,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041400691001"" target=""_blank"">Public Record Only</a>",4/6/20,,,10472,22' x 53',"2,966 SF / 28.25' x 105'",,1960,,2,
"875 Morrison Ave, Unit 16A",875 Morrison Ave,Soundview,Bronx,"$210,840 ",$281 ,3,1,1,1,1,,750,$495 ,$495 ,,Co-op/Co-Operative,Detached,Co-op,Sold,6,4/9/20,11/5/19,"$210,000 ","$210,000 ",11/11/19,"$210,840 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300725001"" target=""_blank"">Verified by Public Record</a>",4/7/20,,,10473,,,Private Outdoor Space,1962,,225,
3211 Fenton Ave,3211 Fenton Ave,Baychester,Bronx,"$527,000 ",$374 ,6,3,2,2,2,,"1,408",,$349 ,$349 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,61,4/15/20,9/27/19,"$509,000 ","$509,000 ",11/27/19,"$527,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042200098001"" target=""_blank"">Verified by Public Record</a>",4/7/20,,,10469,16' x 40',"2,050 SF / 20.5' x 100'",Fence,1920,,1,
"154 Surf Dr, Unit 484",154 Surf Dr,Harding Park,Bronx,"$319,000 ",$265 ,,3,,2,2,,"1,206",$554 ,$568 ,$15 ,Condo,,Condo,Sold,,,,,,,"$319,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300105001"" target=""_blank"">Public Record Only</a>",4/7/20,,,10473,,,,,,,
2942 Kingsland Ave,2942 Kingsland Ave,Baychester,Bronx,"$650,000 ",$353 ,,5,3,3,3,,"1,840",,$465 ,$466 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,34,4/17/20,1/2/20,"$629,000 ","$629,000 ",2/5/20,"$650,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300138001"" target=""_blank"">Verified by Public Record</a>",4/7/20,,,10469,20' x 46',"1,900 SF / 20' x 95'",,1960,,2,
2311 Pearsall Ave,2311 Pearsall Ave,Pelham Gardens,Bronx,"$680,000 ",$293 ,5,3,3,1.5,2,1,"2,319",,$484 ,$484 ,House/Building,Single Family,Townhouse/Single Family,Sold,13,2/4/21,11/29/19,"$650,000 ","$650,000 ",1/1/20,"$680,000 ",,4/8/20,,,10469,16.67' x 48',"2,500 SF / 25' x 100'",,1935,,1,
"3176 Decatur Ave, Unit 4A",Decatur Towers,Norwood,The Bronx,"$160,000 ",$280 ,3,1,,1,,,571,$585 ,$585 ,,Co-op,,Co-op,Sold,20,2/5/21,1/8/20,"$163,000 ","$163,000 ",1/28/20,"$160,000 ",,4/8/20,,,10467,,,,1960,,63,
72 Hawkins St,72 Hawkins St,City Island,Bronx,"$629,000 ",$374 ,7,3,3,2.5,2,1,"1,682",,$541 ,$542 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,20,4/9/20,1/24/20,"$629,000 ","$629,000 ",2/13/20,"$629,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041600058001"" target=""_blank"">Verified by Public Record</a>",4/8/20,,,10464,17' x 44',"2,512 SF / 25' x 100.5'","Deck
Private Outdoor Space",2007,,1,
1502 Bryant Ave,1502 Bryant Ave,Crotona Park East,Bronx,"$294,000 ",$124 ,,,,,,,"2,368",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$294,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042200446001"" target=""_blank"">Public Record Only</a>",4/8/20,,,10460,22' x 54',"2,500 SF / 25' x 100'",,1910,,2,
1530 E 172nd St,1530 E 172nd St,Bronx River,Bronx,"$763,000 ",$298 ,,7,,2,2,,"2,560",,$353 ,$354 ,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$763,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042000410001"" target=""_blank"">Public Record Only</a>",4/8/20,,,10472,20' x 64',"2,642 SF / 26.42' x 100'",,1930,,2,
2821 Schurz Ave,2821 Schurz Ave,Throgs Neck,Bronx,"$700,000 ",,12,5,2,2,2,,,,$385 ,$385 ,House/Building,All Multi Family/Two Family,Townhouse/Multi Family,Sold,48,12/12/19,10/24/19,"$699,000 ","$699,000 ",,"$700,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042200487002"" target=""_blank"">Verified by Public Record</a>",4/8/20,,,10465,21.5' x 39.83',"2,560 SF / 25' x 102.42'",,1960,,2,
2821 Schurz Ave,2821 Schurz Ave,Throgs Neck,Bronx,"$700,000 ",$429 ,,5,2,2,2,,"1,633",,$408 ,$409 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Detached,Townhouse/Multi Family,Sold,79,4/27/20,12/16/19,"$729,000 ","$714,999 ",3/4/20,"$700,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042200487002"" target=""_blank"">Verified by Public Record</a>",4/8/20,,,10465,21.5' x 39.83',"2,560 SF / 25' x 102.42'",,1960,,2,
"255 Fieldston Ter, Unit PS 1",255 Fieldston Ter,Fieldston,Bronx,"$31,867 ",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$31,867 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041500642001"" target=""_blank"">Public Record Only</a>",4/9/20,,,10471,,,,1965,,76,
4038 Wilder Ave,4038 Wilder Ave,Edenwald,Bronx,"$661,000 ",$269 ,,5,3,3,3,,"2,456",,$468 ,$469 ,House/Building/Multi Family/Multi-Family 2-4,Three Family/All Multi Family/Detached,Townhouse/Multi Family,Sold,170,4/9/20,5/28/19,"$580,000 ","$650,000 ",11/14/19,"$661,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042300307001"" target=""_blank"">Verified by Public Record</a>",4/9/20,,,10466,20' x 30',"4,750 SF / 50' x 95'",,1901,,3,
2965 Dewitt Pl,2965 Dewitt Pl,Pelham Gardens,Bronx,"$725,000 ",$215 ,,Studio,,,,,"3,365",,$453 ,$454 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Detached,Townhouse/Multi Family,Sold,22,4/9/20,1/16/20,"$729,999 ","$729,999 ",2/7/20,"$725,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041500509002"" target=""_blank"">Verified by Public Record</a>",4/9/20,,,10469,21' x 54',"2,500 SF / 25' x 100'",,1930,,2,
1278 Rev James A Polite Ave,1278 Rev James A Polite Ave,Crotona Park East,Bronx,"$725,000 ",$318 ,,5,3,3,3,,"2,280",,$355 ,$355 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,71,4/11/20,8/27/19,"$725,000 ","$725,000 ",11/6/19,"$725,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041600543001"" target=""_blank"">Verified by Public Record</a>",4/10/20,,,10459,19' x 40',"1,900 SF / 19' x 100'","Deck
Private Outdoor Space",1991,,2,
630 Underhill Ave,630 Underhill Ave,Soundview,Bronx,"$749,000 ",$294 ,,5,2,2,2,,"2,550",,$448 ,$448 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,28,4/11/20,12/2/19,"$765,000 ","$765,000 ",12/30/19,"$749,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041000486001"" target=""_blank"">Verified by Public Record</a>",4/10/20,,,10473,20' x 50',"2,000 SF / 20' x 100'",,1970,,2,
1338 Herschell St,1338 Herschell St,Westchester Village,Bronx,"$730,000 ",$354 ,,,,,,,"2,064",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$730,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042600054001"" target=""_blank"">Public Record Only</a>",4/10/20,,,10461,21' x 48',"2,600 SF / 25.25' x 103'",,1910,,2,
"837 Washington Ave, Unit 8D",837 Washington Ave,Melrose,Bronx,"$260,000 ",$381 ,3,1,1,1,1,,682,$366 ,$377 ,$11 ,Condominium/Condo,Detached,Condo/Single Family,Sold,59,4/15/20,11/25/19,"$269,000 ","$269,000 ",2/8/20,"$260,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020051700010003"" target=""_blank"">Verified by Public Record</a>",4/10/20,,,10451,200' x 110.84',,"Common Roof Deck
Playground
Common Outdoor Space",2008,,95,
"2550 Olinville Ave, Unit 9L",2550 Olinville Ave,Bronxwood,Bronx,"$175,000 ",$223 ,4,1,1,1,1,,783,$668 ,$668 ,,Co-op/Co-Operative,Attached,Co-op,Sold,133,4/14/20,9/9/19,"$175,000 ","$175,000 ",1/20/20,"$175,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041700540001"" target=""_blank"">Verified by Public Record</a>",4/13/20,,,10467,,,"Balcony
Private Outdoor Space",1965,,213,
3892 Seton Ave,3892 Seton Ave,Edenwald,Bronx,"$579,000 ",,10,4,3,2.5,2,1,,,$365 ,$365 ,House/Building,All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,28,1/31/20,1/2/20,"$579,000 ","$579,000 ",,"$579,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042700530001"" target=""_blank"">Verified by Public Record</a>",4/13/20,,,10466,18.33' x 33',"2,050 SF / 20.5' x 100'",Balcony,1958,,1,
"3515 Henry Hudson Pkwy W, Unit 10B",3515 Henry Hudson Pkwy W,Riverdale,Bronx,"$440,000 ",$367 ,5,2,2,2,2,,"1,200","$1,250 ","$1,250 ",,Co-op/Co-Operative,Attached,Co-op,Sold,,4/14/20,1/24/20,"$459,000 ","$459,000 ",2/13/20,"$440,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300575001"" target=""_blank"">Verified by Public Record</a>",4/13/20,,,10463,,,"Playground
Common Garden
Common Outdoor Space",1954,"Doorman, Full-Time Doorman, Part-Time Doorman",79,
