Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,
86 Belfast Ave,86 Belfast Ave,New Dorp,Staten Island,"$495,000",$364,6,3,2,1.5,1,1,"1,360",,$477,$478,Residential/House/Building,Single Family - Attached/Single Family,Townhouse/Single Family,Sold,43,11/05/2020,07/21/2020,"$499,999","$499,999",09/02/2020,"$495,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020122900129001"" target=""_blank"">Verified by Public Record</a>",11/03/2020,,,10306,17.5' x 35',"2,600 SF / 26' x 100'",Private Outdoor Space,1965,,1,,
47 Springhill Ave,47 Springhill Ave,Randall Manor,Staten Island,"$765,000",$383,7,3,2,1.75,2,,"2,000",,$552,$552,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,175,09/01/2020,03/09/2020,"$799,000","$799,000",,"$765,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121600995001"" target=""_blank"">Verified by Public Record</a>",11/03/2020,,,10301,40' x 24',"6,372 SF / 54' x 118'",Private Outdoor Space,1940,,1,,
71 Cranford St,71 Cranford St,Great Kills,Staten Island,"$540,000",$459,6,3,1,1,1,,"1,176",,$413,$414,Residential/House/Building,Single Family - Semi-Attached/Single Family,Townhouse/Single Family,Sold,37,11/03/2020,07/28/2020,"$569,000","$569,000",09/03/2020,"$540,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121601045001"" target=""_blank"">Verified by Public Record</a>",11/03/2020,,,10308,14' x 42',"2,400 SF / 24' x 100'","Common Outdoor Space
Private Outdoor Space
Front Yard
Back Yard",1975,,1,,
130 Evergreen St,130 Evergreen St,Great Kills,Staten Island,"$550,000",$250,9,4,3,2.5,2,1,"2,200",,$488,$489,Residential/House/Building,Single Family - Semi-Attached/Single Family,Townhouse/Single Family,Sold,149,11/09/2020,03/11/2020,"$599,000","$599,000",08/07/2020,"$550,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121601135001"" target=""_blank"">Verified by Public Record</a>",11/03/2020,,,10308,22' x 52',"2,700 SF / 27' x 100'",Private Outdoor Space,1980,,1,,
821 Travis Ave,821 Travis Ave,Bulls Head,Staten Island,"$639,000",$370,7,4,2,1.5,1,1,"1,728",,$498,$498,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,12,11/04/2020,07/31/2020,"$639,000","$639,000",08/12/2020,"$639,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021012100186001"" target=""_blank"">Verified by Public Record</a>",11/03/2020,,,10314,24' x 32',"8,505 SF / 81' x 105'","Porch
Private Outdoor Space",1930,,1,,
Hillside Ave,n/a,Staten Island,Staten Island,"$99,000",,,,,,,,,,,,Land,,Land,Sold,,,,,,,"$99,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121000544001"" target=""_blank"">Public Record Only</a>",11/03/2020,,,,,,,,,,,
"89 Pierpont Pl, Unit CONDO",89 Pierpont Pl,Heartland Village,Staten Island,"$435,000",$336,,,,,,,"1,293",,,,Condo,,Condo,Sold,,,,,,,"$435,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120801039001"" target=""_blank"">Public Record Only</a>",11/03/2020,,,10314,,,,,,,,
37 Oakville St,37 Oakville St,Willowbrook,Staten Island,"$550,000",$260,,5,,3,3,,"2,112",,$561,$561,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$550,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020123000506001"" target=""_blank"">Public Record Only</a>",11/03/2020,,,10314,0' x 0',875 SF / 35' x 25',,,,0,,
33B Bradley Ct,33b Bradley Ct,Willowbrook,Staten Island,"$350,000",$386,5,2,1,1,1,,906,$210,$425,$216,Residential,Apartment,Condo,Sold,11,11/04/2020,08/17/2020,"$350,000","$350,000",08/28/2020,"$350,000",Unverified,11/03/2020,,,10314,,,Private Outdoor Space,,,,,
"35 Oakville St, Unit A",n/a,Willowbrook,Staten Island,"$550,000",$458,6,3,2,1.5,1,1,"1,200",,,,Residential,Single Family - Semi-Attached,Single Family,Sold,19,11/04/2020,08/06/2020,"$559,000","$559,000",08/25/2020,"$550,000",Unverified,11/03/2020,,,10314,,,,2020,,,,
94 Livingston Ave,94 Livingston Ave,Manor Heights,Staten Island,"$242,000",$131,,,,,,,"1,850",,,,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$242,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021011100587001"" target=""_blank"">Public Record Only</a>",11/03/2020,,,10314,18' x 32',"1,800 SF / 18' x 100'",,1995,,1,,
23A Mc Divitt Ave,23a Mc Divitt Ave,New Springville,Staten Island,"$480,000",$389,4,3,2,1.5,1,1,"1,233",$265,$622,$358,Residential,Single Family - Semi-Attached/Condo,Condo,Sold,123,11/05/2020,05/08/2020,"$525,000","$525,000",09/08/2020,"$480,000",Unverified,11/03/2020,,,10314,,,Private Outdoor Space,1986,,,,
"40 Meadow Pl, Unit N",40 Meadow Pl,Midland Beach,Staten Island,"$260,000",$439,3,1,1,0.75,1,,592,$225,$393,$168,Residential,Single Family - Attached,Townhouse/Condo,Sold,77,11/02/2020,06/26/2020,"$275,000","$275,000",09/11/2020,"$260,000",Unverified,11/02/2020,,,10306,,,,,,,,
42 Satterlee St,42 Satterlee St,Tottenville,Staten Island,"$665,000",$369,7,4,2,1.5,1,1,"1,800",,$574,$574,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,145,11/03/2020,02/03/2020,"$649,999","$649,999",07/07/2020,"$665,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120800253001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10307,18' x 48',"3,488 SF / 32' x 109'",Private Outdoor Space,1910,,2,,
Madsen Ave,Madsen Ave,Staten Island,Staten Island,"$986,684",$779,,,,,,,"1,266",,,,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$986,684","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121800609001"" target=""_blank"">Public Record Only</a>",11/02/2020,,,,,,,,,,,
75 Dogwood Dr,n/a,Huguenot,Staten Island,"$650,000",$286,7,3,2,2,2,,"2,272",$20,$559,$539,Residential,Single Family - Detached,Single Family,Sold,60,11/02/2020,06/22/2020,"$649,900","$649,900",08/21/2020,"$650,000",Unverified,11/02/2020,,,10312,27' x 50',"3,760 SF / 40' x 94'",,1975,,1,,
24 Chesterton Ave,24 Chesterton Ave,Bay Terrace,Staten Island,"$523,000",$454,6,3,2,1.5,1,1,"1,152",,$468,$468,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,15,11/04/2020,08/19/2020,"$529,000","$529,000",09/03/2020,"$523,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021011500734001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10306,16' x 36',"3,000 SF / 30' x 100'",Private Outdoor Space,1960,,1,,
415 Wainwright Ave,n/a,Eltingville,Staten Island,"$830,000",$409,8,4,4,3,3,1,"2,030",,$676,$676,Residential,Single Family - Detached,Single Family,Sold,74,11/03/2020,06/21/2020,"$929,000","$929,000",09/03/2020,"$830,000",Unverified,11/02/2020,,,10312,35' x 29',"5,000 SF / 50' x 100'",,1975,,1,,
364 Van Duzer St,364 Van Duzer St,Stapleton,Staten Island,"$360,000",$153,,6,2,2,2,,"2,349",,$391,$391,Residential/Mixed Use,Three Family/All Multi Family/Two Family/Single Family,Townhouse/Mixed Use/Multi Family/Single Family,Sold,314,11/06/2020,09/26/2019,"$388,000","$388,000",11/02/2020,"$360,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120400159001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10304,24' x 28',"4,000 SF / 40' x 100'",Private Outdoor Space,1845,,2,,
31 Pelton Ave,31 Pelton Ave,Livingston,Staten Island,"$749,900",$294,7,3,3,2,1,2,"2,550",,$554,$555,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,14,11/02/2020,07/30/2020,"$749,900","$749,900",08/13/2020,"$749,900","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120700624001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10310,36' x 24',"8,775 SF / 75' x 117'",Private Outdoor Space,1901,,1,,
24 Chesterton Ave,24 Chesterton Ave,Bay Terrace,Staten Island,"$523,000",$454,,3,,2,,,"1,152",,$398,$398,House/Building,All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,22,07/18/2020,06/24/2020,"$525,000","$549,000",,"$523,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021011500734001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10306,16' x 36',"3,000 SF / 30' x 100'",,1960,,1,,
73 Dexter Ave,73 Dexter Ave,Woodrow,Staten Island,"$855,000",$305,6,3,3,2.25,2,1,"2,800",$65,$931,$867,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,55,11/03/2020,06/19/2020,"$899,000","$899,000",08/13/2020,"$855,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121400362001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10309,28' x 51',"6,384 SF / 42' x 152'",Back Yard,2001,,2,,
"4199A Amboy Rd, Unit 5A",4199a Amboy Rd,Great Kills,Staten Island,"$263,500",$380,,1,,1,1,,693,$232,$448,$217,Condo,,Condo,Sold,,,,,,,"$263,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021012500262001"" target=""_blank"">Public Record Only</a>",11/02/2020,,,10308,,,,,,,,
"11 Wolkoff Ln, Unit A",11 Wolkoff Ln,Graniteville,Staten Island,"$337,500",$334,6,2,2,1.5,1,1,"1,011",$290,$523,$233,Residential,Single Family - Attached,Townhouse/Condo,Sold,76,11/02/2020,07/08/2020,"$349,900","$349,900",09/22/2020,"$337,500",Unverified,11/02/2020,,,10303,,,Private Outdoor Space,1983,,,,
31 Hillcrest Ave,31 Hillcrest Ave,Great Kills,Staten Island,"$1,039,000",$371,7,6,5,4.25,5,,"2,800",,$500,$500,Residential,Two Family - Detached,Multi Family,Sold,50,11/03/2020,06/02/2020,"$1,050,000","$1,050,000",07/22/2020,"$1,039,000",Unverified,11/02/2020,,,10308,,,,2020,,,,
"11A Wolkoff Ln, Unit CONDO",11a Wolkoff Ln,Graniteville,Staten Island,"$337,500",$334,,,,,,,"1,011",,,,Condo,,Condo,Sold,,,,,,,"$337,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121000524001"" target=""_blank"">Public Record Only</a>",11/02/2020,,,10303,,,,,,,,
33 Lafayette Ave,33 Lafayette Ave,New Brighton,Staten Island,"$365,000",$185,8,4,3,2,1,2,"1,972",,$374,$375,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,33,11/12/2020,06/25/2020,"$385,000","$385,000",07/28/2020,"$365,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121000534001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10301,22' x 28',"3,959 SF / 37' x 107'",,1935,,1,,
35 Pershing St,35 Pershing St,South Beach,Staten Island,"$570,000",$291,,,,,,,"1,960",,,,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$570,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021010700641001"" target=""_blank"">Public Record Only</a>",11/02/2020,,,10305,18' x 40',"2,231 SF / 23' x 97'",,1985,,1,,
35 Madsen Ave,35 Madsen Ave,Charleston,Staten Island,"$969,000",$320,8,4,4,3.25,3,1,"3,030",,,,Residential,Two Family - Detached,Multi Family,Sold,20,11/17/2020,01/25/2020,"$969,000","$969,000",02/14/2020,"$969,000",Unverified,11/02/2020,,,10309,22' x 26',"17,340 SF / 102' x 170'",,1925,,1,,
286 Greencroft Ave,286 Greencroft Ave,Great Kills,Staten Island,"$650,000",$283,7,4,4,3.25,3,1,"2,300",,$554,$555,Residential/House/Building,All Multi Family/Two Family - Semi-Attached/Two Family,Townhouse/Multi Family,Sold,62,11/02/2020,06/26/2020,"$698,000","$698,000",08/27/2020,"$650,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120300163001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10308,18' x 40',"2,205 SF / 21' x 105'",Private Outdoor Space,2001,,2,,
181 Paulding Ave,181 Paulding Ave,Bulls Head,Staten Island,"$900,000",$387,10,5,3,2.75,3,,"2,327",,$696,$696,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,22,11/04/2020,07/15/2020,"$949,900","$949,900",08/06/2020,"$900,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120700308001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10314,29' x 50',"4,200 SF / 42' x 100'",Private Outdoor Space,1970,,2,,
25 Dorothy St,25 Dorothy St,Willowbrook,Staten Island,"$575,000",$399,6,3,3,2.25,2,1,"1,440",,$451,$451,Residential/House/Building,Single Family - Semi-Attached/Single Family,Townhouse/Single Family,Sold,66,11/04/2020,06/05/2020,"$599,999","$599,999",08/10/2020,"$575,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021021000722001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10314,18' x 37',"2,692 SF / 26.92' x 100'","Deck
Private Outdoor Space",1965,,1,,
547 Ingram Ave,547 Ingram Ave,Westerleigh,Staten Island,"$575,000",$513,6,3,2,1.5,1,1,"1,120",,$414,$414,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,169,11/03/2020,03/04/2020,"$599,900","$599,900",08/20/2020,"$575,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120201054001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10314,18' x 37',"2,700 SF / 27' x 100'",Private Outdoor Space,1965,,1,,
33 Slayton Ave,33 Slayton Ave,New Springville,Staten Island,"$460,000",$237,6,3,2,1.5,1,1,"1,944",,$445,$445,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,21,11/02/2020,08/06/2020,"$536,000","$536,000",08/27/2020,"$460,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120900553001"" target=""_blank"">Verified by Public Record</a>",11/02/2020,,,10314,18' x 54',"1,836 SF / 18' x 102'","Deck
Private Outdoor Space",1988,,1,,
Amboy Rd,n/a,Staten Island,Staten Island,"$426,075",$291,,,,,,,"1,464",,,,Land,,Land,Sold,,,,,,,"$426,075","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120700176001"" target=""_blank"">Public Record Only</a>",11/02/2020,,,,,,,,,,,
"3739 Milton Ave, Unit 2",3739 Milton Ave,Staten Island,Staten Island,"$410,000",,,,,,,,,,,,Condo,,Condo,Sold,,,,,,,"$410,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120700198001"" target=""_blank"">Public Record Only</a>",10/30/2020,,,10306,,,,,,,,
24 Montell St,24 Montell St,Port Richmond,Staten Island,"$410,000",$397,5,2,1,1,1,,"1,032",,$369,$370,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,31,11/02/2020,08/01/2020,"$424,800","$424,800",09/01/2020,"$410,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021020900549001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10302,18' x 24',"2,790 SF / 30' x 93'","Private Yard
Porch
Private Outdoor Space",1925,,1,,
36 Bay Ter,36 Bay Ter,Bay Terrace,Staten Island,"$185,000",$206,3,1,1,1,1,,900,$634,$634,,Residential,Apartment,Co-op,Sold,57,11/01/2020,07/03/2020,"$199,999","$199,999",08/29/2020,"$185,000",Unverified,10/30/2020,,,10306,,,,,,,,
19 Chelsea St,19 Chelsea St,Tottenville,Staten Island,"$459,000",$522,,,,,,,880,,,,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$459,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020122900197001"" target=""_blank"">Public Record Only</a>",10/30/2020,,,10307,26' x 42',"3,920 SF / 40' x 98'",,1945,,1,,
29 Kenmore St,29 Kenmore St,Greenridge,Staten Island,"$570,000",$331,9,3,2,1.5,1,1,"1,720",,$470,$471,Residential/House/Building,All Multi Family/Two Family/Single Family - Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,39,10/31/2020,06/29/2020,"$589,000","$589,000",08/07/2020,"$570,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120700756001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10312,20' x 51',"2,800 SF / 28' x 100'",Private Outdoor Space,1977,,1,,
211 Sprague Ave,n/a,Tottenville,Staten Island,"$485,000",$505,6,3,1,1,1,,960,,$413,$414,Residential,Single Family - Detached,Single Family,Sold,90,10/30/2020,06/10/2020,"$522,900","$522,900",09/08/2020,"$485,000",Unverified,10/30/2020,,,10307,24' x 20',"4,000 SF / 40' x 100'",,1940,,1,,
49 Alexander Ave,49 Alexander Ave,Greenridge,Staten Island,"$539,000",$394,6,3,3,2.25,2,1,"1,368",,$500,$500,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,14,10/30/2020,08/12/2020,"$539,000","$539,000",08/26/2020,"$539,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120801057001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10312,18' x 37',"2,755 SF / 29' x 95'",Private Outdoor Space,1978,,1,,
96 Beacon Ave,96 Beacon Ave,New Dorp,Staten Island,"$600,000",$366,,3,2,1.5,1,1,"1,640",,$466,$466,Residential/House/Building,Single Family,Townhouse/Single Family,Sold,293,10/30/2020,10/26/2019,"$655,000","$630,000",10/30/2020,"$600,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121400814001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10306,16' x 37',"2,500 SF / 25' x 100'",Private Outdoor Space,1960,,1,,
97 Whitehall St,97 Whitehall St,Oakwood Heights,Staten Island,"$600,000",$585,7,3,3,2.25,2,1,"1,025",,$569,$569,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,59,10/31/2020,07/13/2020,"$625,000","$625,000",09/10/2020,"$600,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120200359001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10306,25' x 33',"5,000 SF / 50' x 100'","Deck
Private Outdoor Space",1945,,1,,
"40 Meadow Pl, Unit 40N",40 Meadow Pl,Midland Beach,Staten Island,"$260,000",$439,,,,,,,592,,,,Condo,,Condo,Sold,,,,,,,"$260,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021020800927001"" target=""_blank"">Public Record Only</a>",10/30/2020,,,10306,,,,,,,,
51 Nicholas Ave,51 Nicholas Ave,Port Richmond,Staten Island,"$495,000",$381,6,3,3,2.25,2,1,"1,300",,$330,$331,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,23,11/02/2020,07/08/2020,"$509,000","$509,000",07/31/2020,"$495,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121000616001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10302,15' x 31',"5,916 SF / 53.5' x 110.58'","Deck
Private Outdoor Space",2010,,1,,
343 Pompey Ave,343 Pompey Ave,Eltingville,Staten Island,"$670,500",$466,6,3,3,2.25,2,1,"1,440",,$560,$560,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,40,11/01/2020,06/18/2020,"$699,888","$699,888",07/28/2020,"$670,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121501088001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10312,16' x 45',"3,769 SF / 29.58' x 127.42'","Deck
Private Outdoor Space",1978,,1,,
8 Bland Pl,n/a,Huguenot,Staten Island,"$955,000",$243,7,3,4,3,2,2,"3,926",,$808,$808,Residential,Single Family - Detached,Single Family,Sold,245,10/30/2020,01/02/2020,"$1,188,800","$1,099,999",09/03/2020,"$955,000",Unverified,10/30/2020,,,10312,50' x 28',"10,535 SF / 215' x 49'","Deck
Private Outdoor Space",1980,,1,,
8 Cottage Ave,8 Cottage Ave,Great Kills,Staten Island,"$840,000",$359,6,4,3,2.5,2,1,"2,340",,$632,$633,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,23,11/06/2020,08/10/2020,"$859,999","$859,999",09/02/2020,"$840,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021012500892001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10308,26' x 45',"5,000 SF / 40' x 125'",Private Outdoor Space,1960,,2,,
175 Ramapo Ave,175 Ramapo Ave,Woodrow,Staten Island,"$870,000",$364,6,5,2,2,2,,"2,392",,$709,$709,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family,Townhouse/Multi Family,Sold,14,10/31/2020,07/02/2020,"$879,000","$879,000",07/16/2020,"$870,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120101088001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10309,26' x 46',"8,000 SF / 80' x 100'",,1975,,2,,
356 Guyon Ave,356 Guyon Ave,Oakwood Beach,Staten Island,"$549,999",$509,6,2,1,1,1,,"1,080",,$382,$382,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,17,10/30/2020,08/25/2020,"$549,999","$549,999",09/11/2020,"$549,999","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020122300367001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10306,30' x 24',"4,750 SF / 50' x 95'",,1950,,1,,
37 Milton Ave,37 Milton Ave,New Dorp Beach,Staten Island,"$410,000",$427,5,3,2,2,2,,961,,$163,$163,Residential,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,293,11/02/2020,09/06/2019,"$410,000","$410,000",06/25/2020,"$410,000",Unverified,10/30/2020,,,10306,,,"Private Outdoor Space
Front Yard",1940,,,,
122 Pitney Ave,122 Pitney Ave,Woodrow,Staten Island,"$540,000",$302,6,3,3,2,1,2,"1,789",,$478,$478,Residential,Single Family - Attached,Single Family/Townhouse,Sold,30,10/30/2020,07/20/2020,"$549,000","$549,000",08/19/2020,"$540,000",Unverified,10/30/2020,,,10309,16.28' x 40',"1,867 SF / 16.24' x 115'",Playground,2001,,1,,
6 Croft Ct,6 Croft Ct,Great Kills,Staten Island,"$375,000",$401,,2,,1.5,1,1,935,$85,$201,$117,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$375,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021012800244001"" target=""_blank"">Public Record Only</a>",10/30/2020,,,10306,16' x 33',688 SF / 16' x 43',,1988,,1,,
41 Clove Lake Pl,41 Clove Lake Pl,West Brighton,Staten Island,"$545,000",$495,8,3,1,1,1,,"1,100",,$476,$476,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,43,11/05/2020,07/27/2020,"$598,000","$598,000",09/08/2020,"$545,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021010701239001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10310,25' x 22',"3,200 SF / 50' x 64'","Playground
Private Outdoor Space",1915,,1,,
19 Manor Rd,19 Manor Rd,West Brighton,Staten Island,"$479,000",$357,6,3,1,1,1,,"1,340",,$375,$375,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,294,10/31/2020,11/05/2019,"$539,000","$499,000",08/25/2020,"$479,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120900589001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10310,18' x 28',"2,800 SF / 28' x 100'",,1930,,1,,
22 Brandis Ln,22 Brandis Ln,Eltingville,Staten Island,"$415,000",$384,6,2,3,2.25,2,1,"1,080",$85,$376,$292,Residential,Single Family - Attached,Single Family/Townhouse,Sold,8,11/17/2020,08/10/2020,"$415,000","$415,000",08/18/2020,"$415,000",Unverified,10/30/2020,,,10312,20' x 27',540 SF / 20' x 27',,1993,,1,,
144 Roe St,144 Roe St,West Brighton,Staten Island,"$350,000",$512,5,2,1,1,1,,684,,$316,$316,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,33,11/13/2020,07/15/2020,"$360,000","$360,000",08/17/2020,"$350,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021010400359001"" target=""_blank"">Verified by Public Record</a>",10/30/2020,,,10310,19' x 24',"2,886 SF / 26' x 111'",Private Outdoor Space,1945,,1,,
7352 Amboy Rd,7352 Amboy Rd,Tottenville,Staten Island,"$2,750,000",$241,,,,,,,"11,400",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$2,750,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020122100330001"" target=""_blank"">Public Record Only</a>",10/30/2020,,,10307,95' x 30',"15,580 SF / 82' x 190'",,1995,,13,,
