Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,
610 Davis Ave,n/a,West Brighton,Staten Island,"$540,000",$472,7,3,2,1.5,1,1,"1,144",,$370,$371,Residential,Single Family - Detached,Single Family,Sold,576,02/11/2021,04/08/2019,"$620,000","$569,000",11/13/2020,"$540,000",Unverified,02/11/2021,,,10310,20' x 29',"2,604 SF / 31' x 84'",Deck,1925,,1,,
49 Goodall St,n/a,Great Kills,Staten Island,"$510,000",$447,6,3,2,1.5,1,1,"1,140",,$384,$385,Residential,Single Family - Semi-Attached,Single Family,Sold,21,02/12/2021,09/30/2020,"$518,888","$518,888",10/21/2020,"$510,000",Unverified,02/11/2021,,,10308,15' x 38',"3,105 SF / 23' x 135'",Private Outdoor Space,1960,,1,,
"100 Colfax Ave, Unit 2U",100 Colfax Ave,Grant City,Staten Island,"$275,000",$316,5,2,1,1,1,,871,$500,$748,$248,Residential,Apartment,Condo,Sold,60,02/11/2021,10/01/2020,"$298,000","$298,000",11/30/2020,"$275,000",Unverified,02/11/2021,,,10306,,,,1961,,159,,
410 Pelton Ave,n/a,West Brighton,Staten Island,"$610,000",$606,7,4,2,1.75,2,,"1,006",,$472,$473,Residential,Single Family - Detached,Single Family,Sold,30,02/12/2021,09/23/2020,"$629,900","$629,900",10/23/2020,"$610,000",Unverified,02/11/2021,,,10310,34' x 24',"4,650 SF / 50' x 93'",Private Outdoor Space,1955,,1,,
219 Milton Ave,219 Milton Ave,Oakwood Beach,Staten Island,"$569,000",$324,7,3,3,2.5,2,1,"1,756",,$469,$469,Residential,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,71,02/12/2021,09/08/2020,"$599,000","$599,000",11/18/2020,"$569,000",Unverified,02/11/2021,,,10306,20' x 42',"3,720 SF / 30' x 124'","Deck
Private Outdoor Space",1955,,1,,
209 Westfield Ave,209 Westfield Ave,Rossville,Staten Island,"$360,000",,,,,,,,,,$208,$208,Land/Lots,Commercial,Other,Sold,49,02/12/2021,11/30/2020,"$429,000","$429,000",01/18/2021,"$360,000",Unverified,02/11/2021,,,10309,,,,,,0,,
"360 Barlow Ave, Unit B3",360 Barlow Ave,Great Kills,Staten Island,"$320,000",$313,4,2,2,1.5,1,1,"1,024",,$241,$242,Residential,Single Family - Attached,Townhouse/Condo,Sold,124,02/12/2021,10/07/2020,"$354,000","$354,000",02/08/2021,"$320,000",Unverified,02/11/2021,,,10308,,,,1985,,45,,
209 Westfield Ave,n/a,Rossville,Richmond,"$360,000",,,,,,,,,,$202,$203,Land,Land,Land,Sold,48,02/12/2021,12/02/2020,"$429,000","$429,000",02/11/2021,"$360,000",Unverified,02/11/2021,,,10309,,0.09 AC,,,,,,
1012 Rathbun Ave,1012 Rathbun Ave,Woodrow,Staten Island,"$825,000",$354,8,3,3,2.5,2,1,"2,333",,$534,$534,Residential,Two Family - Detached,Multi Family,Sold,225,02/12/2021,03/03/2020,"$875,000","$875,000",10/14/2020,"$825,000",Unverified,02/11/2021,,,10309,26' x 47',"3,942 SF / 41.5' x 95'",,1986,,2,,
140 Castleton Ave,140 Castleton Ave,Tompkinsville,Staten Island,"$610,000",$293,6,6,2,2,2,,"2,080",,$475,$475,Residential,Two Family - Detached,Multi Family,Sold,126,02/12/2021,06/22/2020,"$599,000","$599,000",10/29/2020,"$610,000",Unverified,02/11/2021,,,10301,26' x 40',"3,960 SF / 40' x 99'",,1960,,2,,
25 Melville St,25 Melville St,Prince's Bay,Staten Island,"$1,087,500",$321,8,5,5,4.5,4,1,"3,385",,$744,$745,Residential,Two Family - Detached,Multi Family,Sold,70,02/13/2021,09/01/2020,"$1,275,000","$1,275,000",11/10/2020,"$1,087,500",Unverified,02/11/2021,,,10309,60' x 36',"9,718 SF / 86' x 113'",Private Outdoor Space,1993,,2,,
38 Mills Ave,n/a,South Beach,Staten Island,"$665,000",$504,7,3,4,3.5,3,1,"1,320",,$480,$481,Residential,Single Family - Semi-Attached,Single Family,Sold,27,02/11/2021,10/06/2020,"$675,000","$675,000",11/02/2020,"$665,000",Unverified,02/11/2021,,,10305,12' x 55',"2,300 SF / 20' x 115'",,2006,,1,,
268 Suffolk Ave,n/a,Manor Heights,Staten Island,"$560,000",$444,7,3,2,1.5,1,1,"1,260",,$373,$374,Residential,Single Family - Semi-Attached,Single Family,Sold,444,02/11/2021,08/07/2019,"$679,000","$599,000",10/24/2020,"$560,000",Unverified,02/11/2021,,,10314,20' x 42',"3,000 SF / 30' x 100'","Private Yard
Deck",1965,,1,,
326 Harbor Rd,n/a,Mariners Harbor,Staten Island,"$265,000",$230,5,2,1,1,1,,"1,152",,$306,$306,Residential,Single Family - Detached,Single Family,Sold,20,02/11/2021,12/02/2020,"$305,000","$305,000",12/22/2020,"$265,000",Unverified,02/10/2021,,,10303,14' x 28',"3,330 SF / 37' x 90'",Private Outdoor Space,1920,,1,,
11 Furman St,n/a,Annadale,Staten Island,"$660,500",$297,8,4,2,1.75,2,,"2,224",,$615,$615,Residential,Single Family - Detached,Single Family,Sold,143,02/11/2021,06/23/2020,"$725,000","$725,000",11/13/2020,"$660,500",Unverified,02/10/2021,,,10312,46' x 45',"4,700 SF / 47' x 100'","Private Yard
Private Outdoor Space",1970,,1,,
55 Leonello Ln,n/a,Tottenville,Staten Island,"$1,450,000",$299,10,5,6,4.5,5,1,"4,856",,,,Residential,Single Family - Detached,Single Family,Sold,547,02/11/2021,06/25/2019,"$2,249,000","$2,238,000",12/23/2020,"$1,450,000",Unverified,02/10/2021,,,10307,0' x 0',"10,868 SF / 104.14' x 104.36'",Private Outdoor Space,,,0,,
188 N Railroad St,n/a,Huguenot,Staten Island,"$646,000",$264,7,3,3,2.25,2,1,"2,444",,$637,$638,Residential,Single Family - Detached/Single Family,Single Family,Sold,15,02/11/2021,10/23/2020,"$649,000","$649,000",11/07/2020,"$646,000",Unverified,02/10/2021,,,10312,26' x 47',"4,000 SF / 40' x 100'","Private Yard
Deck
Private Outdoor Space",1975,,1,,
86 Lerer Ln,86 Lerer Ln,Tottenville,Staten Island,"$840,000",$336,7,4,4,3.25,3,1,"2,500",$125,$956,$832,Residential,Two Family - Detached,Multi Family,Sold,107,02/10/2021,08/03/2020,"$874,999","$874,999",11/18/2020,"$840,000",Unverified,02/10/2021,,,10307,25' x 50',"4,000 SF / 40' x 100'","Deck
Private Outdoor Space",2001,,2,,
508 Winchester Ave,n/a,Eltingville,Staten Island,"$555,000",$396,6,3,2,1.5,1,1,"1,400",,$450,$451,Residential,Single Family - Semi-Attached/Single Family,Single Family,Sold,73,02/10/2021,10/26/2020,"$628,000","$628,000",01/07/2021,"$555,000",Unverified,02/10/2021,,,10312,17.5' x 40',"2,800 SF / 28' x 100'",Private Outdoor Space,1965,,1,,
3088 Hylan Blvd,3088 Hylan Blvd,Oakwood Beach,Staten Island,"$850,000",$425,9,5,4,3.5,3,1,"2,000",,$551,$551,Residential,Two Family - Detached,Multi Family,Sold,147,02/10/2021,06/23/2020,"$995,000","$995,000",11/17/2020,"$850,000",Unverified,02/10/2021,,,10306,25' x 40',"5,712 SF / 56' x 102'",,1980,,2,,
312 York Ave,n/a,New Brighton,Staten Island,"$25,000",,,,,,,,,,$67,$67,Land/Lots,Residential,Land/Single Family,Sold,24,02/10/2021,12/11/2020,"$25,000","$25,000",01/04/2021,"$25,000",Unverified,02/10/2021,,,10301,,0.06 AC,,,,,,
184 Bay Ter,n/a,Bay Terrace,Staten Island,"$590,000",$502,6,3,2,2,2,,"1,176",,$492,$493,Residential,Single Family - Semi-Attached,Single Family,Sold,27,02/11/2021,09/19/2020,"$619,000","$619,000",10/16/2020,"$590,000",Unverified,02/10/2021,,,10306,14' x 42',"2,520 SF / 24' x 105'","Porch
Common Outdoor Space
Private Outdoor Space",1970,,1,,
28 Dina Ct,n/a,Great Kills,Staten Island,"$675,000",$361,9,4,4,3,3,1,"1,872",$10,$580,$570,Residential,Single Family - Semi-Attached,Single Family,Sold,86,02/11/2021,08/11/2020,"$669,900","$669,900",11/05/2020,"$675,000",Unverified,02/10/2021,,,10306,18' x 52',"2,675 SF / 25' x 107'","Balcony
Deck
Private Outdoor Space",1986,,1,,
17 Tappen Ct,17 Tappen Ct,Stapleton,Staten Island,"$347,500",$316,6,3,2,1.5,1,1,"1,100",$60,$310,$251,Residential,Single Family - Attached,Single Family/Townhouse,Sold,31,02/10/2021,09/25/2020,"$349,000","$349,000",10/26/2020,"$347,500",Unverified,02/10/2021,,,10304,22' x 24.92',"1,188 SF / 22' x 54'",,1989,,1,,
310 York Ave,310 York Ave,New Brighton,Staten Island,"$290,000",$103,,,,,,,"2,814",,$234,$235,MultiFamily,3F,Multi Family,Sold,664,02/11/2021,10/05/2018,"$245,000","$245,000",07/30/2020,"$290,000",Unverified,02/10/2021,,,10301,25' x 38',"2,500 SF / 25' x 100'",,1920,,3,,
151 Dudley Ave,n/a,Sunnyside - Staten Island,Staten Island,"$540,000",$317,8,2,2,1.5,1,1,"1,704",,$558,$559,Residential/Land,Single Family - Detached/Residential/Single Family,Single Family/Land,Sold,390,02/10/2021,10/16/2019,"$874,000","$845,000",11/09/2020,"$540,000",Unverified,02/10/2021,,,10301,22' x 30',0.18 AC,Private Outdoor Space,1920,,1,,
173 Chandler Ave,173 Chandler Ave,Westerleigh,Staten Island,"$550,000",$222,10,4,2,2,2,,"2,475",,$619,$620,Residential,Two Family - Detached,Multi Family,Sold,19,02/11/2021,10/19/2020,"$550,000","$550,000",11/12/2020,"$550,000",Unverified,02/10/2021,,,10314,22' x 45',"3,500 SF / 35' x 100'",,1925,,2,,
335 Crystal Ave,n/a,Westerleigh,Staten Island,"$558,000",$454,6,3,2,1.5,1,1,"1,230",,$464,$464,Residential,Single Family - Semi-Attached/Single Family,Single Family,Sold,27,02/10/2021,10/09/2020,"$579,900","$579,900",11/05/2020,"$558,000",Unverified,02/10/2021,,,10314,15' x 40',"2,500 SF / 25' x 100'",Private Outdoor Space,1960,,1,,
435 Fanning St,n/a,Manor Heights,Staten Island,"$650,000",$328,6,3,3,2.25,2,1,"1,980",,$477,$477,Residential,Single Family - Semi-Attached,Single Family,Sold,33,02/10/2021,10/28/2020,"$649,900","$649,900",11/30/2020,"$650,000",Unverified,02/10/2021,,,10314,17' x 39.5',"2,500 SF / 25' x 100'",,1975,,1,,
54 Millstone Ct,54 Millstone Ct,Heartland Village,Staten Island,"$455,000",$337,6,3,3,2.5,2,1,"1,350",,$344,$345,Residential,Single Family - Attached,Single Family/Townhouse,Sold,63,02/11/2021,07/08/2020,"$469,000","$469,000",09/09/2020,"$455,000",Unverified,02/10/2021,,,10314,14' x 30',"1,666 SF / 14' x 119'","Deck
Private Outdoor Space",2000,,1,,
459 Tennyson Dr,n/a,Eltingville,Staten Island,"$430,500",$287,6,3,4,3,3,1,"1,500",,$540,$541,Residential,Single Family - Detached,Single Family,Sold,237,02/10/2021,12/07/2020,,"$489,900",12/10/2020,"$430,500",Unverified,02/09/2021,,,10312,45' x 20',"2,800 SF / 35' x 80'",Private Outdoor Space,1999,,1,,
7 Joline Ave,n/a,Tottenville,Staten Island,"$975,000",$324,12,4,3,2.5,2,1,"3,008",,$664,$664,Residential,Single Family - Detached,Single Family,Sold,49,02/09/2021,09/18/2020,"$1,050,000","$1,050,000",11/06/2020,"$975,000",Unverified,02/09/2021,,,10307,47' x 32',"6,840 SF / 120' x 57'","Common Outdoor Space
Private Outdoor Space",2011,,1,,
5 Belmont Pl,n/a,St. George,Staten Island,"$495,000",$300,9,4,2,1.75,2,,"1,648",,$401,$401,Residential,Single Family - Detached,Single Family,Sold,22,02/10/2021,11/05/2020,"$529,900","$529,900",11/27/2020,"$495,000",Unverified,02/09/2021,,,10301,29' x 28',"4,000 SF / 50' x 80'",Porch,1920,,1,,
37 Jerome Ave,n/a,South Beach,Staten Island,"$507,000",$634,4,2,2,1.75,2,,800,,$241,$242,Residential,Single Family - Detached,Single Family,Sold,44,02/09/2021,12/07/2020,"$599,000","$599,000",01/20/2021,"$507,000",Unverified,02/09/2021,,,10305,20' x 35',"3,500 SF / 35' x 100'",Private Outdoor Space,1950,,1,,
163 Detroit Ave,163 Detroit Ave,Annadale,Staten Island,"$969,999",$390,6,6,5,4.25,5,,"2,485",,$708,$708,Residential,Two Family - Detached,Multi Family,Sold,176,02/10/2021,11/07/2019,"$969,999","$969,999",05/01/2020,"$969,999",Unverified,02/09/2021,,,10312,,,,2020,,,,
460 Englewood Ave,n/a,Woodrow,Staten Island,"$675,000",$433,6,3,4,3.25,3,1,"1,560",$51,$656,$604,Residential,Single Family - Semi-Attached,Single Family,Sold,84,02/10/2021,09/08/2020,"$699,999","$699,999",12/01/2020,"$675,000",Unverified,02/09/2021,,,10309,15' x 52',"2,312 SF / 25' x 92.5'","Deck
Private Outdoor Space",2000,,1,,
"631 Cary Ave, Unit 2",631 Cary Ave,West Brighton,Staten Island,"$397,500",$194,10,7,1,1,1,,"2,050",,$299,$299,Residential,Two Family - Detached,Multi Family,Sold,682,02/10/2021,09/26/2018,"$449,000","$449,000",08/08/2020,"$397,500",Unverified,02/09/2021,,,10310,20' x 40',"1,250 SF / 25' x 50'",,1925,,2,,
44 Susanna Ln,44 Susanna Ln,Arden Heights,Staten Island,"$452,000",$314,6,3,3,2.25,2,1,"1,440",$70,$443,$374,Residential,Single Family - Attached,Single Family/Townhouse,Sold,45,02/10/2021,08/24/2020,"$469,999","$469,999",10/08/2020,"$452,000",Unverified,02/09/2021,,,10312,20' x 24',519 SF / 17.32' x 30',,1990,,1,,
149 Van Cortlandt Ave,149 Van Cortlandt Ave,Sunnyside - Staten Island,Staten Island,"$1,100,000",$271,,,,,,,"4,060",,$874,$875,MultiFamily,4F,Multi Family,Sold,95,02/09/2021,08/05/2020,"$1,300,000","$1,300,000",11/10/2020,"$1,100,000",Unverified,02/09/2021,,,10301,18.83' x 56.83',"5,000 SF / 50' x 100'",,1932,,4,,
6 Thompson Pl,6 Thompson Pl,Rosebank,Staten Island,"$888,000",$411,6,3,3,2.25,2,1,"2,160",,$673,$673,Residential,Two Family - Detached/Multi-Family,Multi Family,Sold,9,02/10/2021,11/23/2020,"$899,000","$899,000",12/02/2020,"$888,000",Unverified,02/09/2021,,,10305,35' x 31',"4,300 SF / 43' x 100'",Private Outdoor Space,2016,,2,,
"850 Howard Ave, Unit 6J",850 Howard Ave,Sunnyside - Staten Island,Staten Island,"$280,000",$335,4,1,1,0.75,1,,836,$388,$653,$266,Residential,Apartment,Condo,Sold,75,02/10/2021,07/11/2020,"$320,000","$320,000",09/24/2020,"$280,000",Unverified,02/09/2021,,,10301,,,,1981,,67,,
37 Perine Ave,37 Perine Ave,Dongan Hills,Staten Island,"$445,000",$473,6,2,2,1.5,1,1,940,$35,$358,$324,Residential,Single Family - Attached,Single Family/Townhouse,Sold,64,02/10/2021,09/29/2020,"$480,000","$480,000",12/02/2020,"$445,000",Unverified,02/09/2021,,,10305,20' x 20',790 SF / 19.75' x 40',Private Outdoor Space,1990,,1,,
117 Ridgeway Ave,117 Ridgeway Ave,Travis-Chelsea,Staten Island,"$490,000",$408,7,3,3,2.25,2,1,"1,202",$81,$272,$191,Residential,Single Family - Attached,Single Family/Townhouse,Sold,28,02/09/2021,11/05/2020,"$508,900","$508,900",12/03/2020,"$490,000",Unverified,02/09/2021,,,10314,14' x 43',"1,512 SF / 14' x 108'",,2004,,1,,
18 Sheraden Ave,n/a,South New York,Staten Island,"$565,000",$368,6,3,3,2,1,2,"1,536",,$499,$499,Residential,Single Family - Semi-Attached/Single Family,Single Family,Sold,111,02/09/2021,06/06/2020,"$638,000","$638,000",09/25/2020,"$565,000",Unverified,02/09/2021,,,10314,16' x 48',"2,500 SF / 25' x 100'","Balcony
Deck
Private Outdoor Space",1978,,2,,
102 Gower St,102 Gower St,Westerleigh,Staten Island,"$571,000",$376,8,4,3,2.75,3,,"1,520",,$483,$483,Residential,Two Family - Semi-Attached/Multi-Family,Multi Family,Sold,138,02/11/2021,07/31/2020,"$579,000","$579,000",12/16/2020,"$571,000",Unverified,02/09/2021,,,10314,25' x 37',"2,520 SF / 35' x 72'",Private Outdoor Space,1985,,3,,
