Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,,
500 E 73rd St,500 E 73rd St,Upper East Side,Manhattan,"$7,800,000",$697,,,,,,,"11,192",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$7,800,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020401234003"" target=""_blank"">Public Record Only</a>",01/31/2020,,,10021,25' x 96',"2,551 SF / 26.04' x 98'",,1910,,18,,,
"444 E 75th St, Unit 7B/8B",The Larrimore,Upper East Side,Manhattan,"$1,070,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$1,070,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020700732001"" target=""_blank"">Public Record Only</a>",01/27/2020,,,10021,,,,1963,Full-Time Doorman,156,,,
1364 York Ave,1364 York Ave,Upper East Side,Manhattan,"$6,050,000",$659,,,,,,,"9,180",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$6,050,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020401233005"" target=""_blank"">Public Record Only</a>",01/31/2020,,,10021,25' x 78',"2,450 SF / 25' x 98'",,1920,,18,,,
"160 E 65th St, Unit 24F",160 E 65th St,Upper East Side,Manhattan,"$825,000",,5,1,2,1.5,1,1,,"$2,113","$2,113",,Co-op,,Co-op,Sold,162,07/27/2020,04/23/2019,"$995,000","$899,000",10/02/2019,"$825,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021900949001"" target=""_blank"">Verified by Public Record</a>",02/05/2020,,,10065,,,,1968,"Doorman, Full-Time Doorman, Concierge",180,,,
"333 E 66th St, Unit 2C",Bryn Mawr,Upper East Side,Manhattan,"$515,000",,3,1,1,1,1,,,"$1,192","$1,192",,Co-op,,Co-op,Sold,60,08/28/2020,04/29/2019,"$529,000","$519,000",06/28/2019,"$515,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021100595001"" target=""_blank"">Verified by Public Record</a>",01/20/2020,,,10065,,,"Deck
Roof Deck
Common Roof Deck",1964,"Doorman, Full-Time Doorman",191,,,
"10 E End Ave, Unit 1F",10 E End Ave,Upper East Side,Manhattan,"$355,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$355,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020013000055001"" target=""_blank"">Public Record Only</a>",01/28/2020,,,10075,,,"Roof Deck
Common Roof Deck",1957,Full-Time Doorman,198,,,
"10 E End Ave, Unit 1HAL",10 E End Ave,Upper East Side,Manhattan,"$28,089",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$28,089","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021000453001"" target=""_blank"">Public Record Only</a>",01/28/2020,,,10075,,,"Roof Deck
Common Roof Deck",1957,Full-Time Doorman,198,,,
"108 Leonard St, Unit 6C",108 Leonard St,TriBeCa,Manhattan,"$4,280,106","$2,228",,3,,3.5,3,1,"1,921","$2,284","$5,384","$3,100",Condo,,Condo,Sold,,,,,,,"$4,280,106","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020401230001"" target=""_blank"">Public Record Only</a>",01/31/2020,,,10013,,,"Roof Deck
Common Roof Deck",1899,Full-Time Doorman,167,,,
"220 E 82nd St, Unit 2RE",220 E 82nd St,Upper East Side,Manhattan,"$432,000",$864,3,1,1,1,1,,500,$756,$756,,Co-op,,Co-op,Sold,77,08/28/2020,10/22/2019,"$440,000","$432,000",,"$432,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010801513001"" target=""_blank"">Verified by Public Record</a>",01/07/2020,,,10028,,,,1910,,20,,,
"220 E 82nd St, Unit 2RE",220 E 82nd St,Upper East Side,Manhattan,"$432,000",$864,3,1,1,1,1,,500,$756,$756,,Co-op,,Co-op,Sold,,01/30/2020,07/29/2019,"$440,000","$440,000",10/22/2019,"$432,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010801513001"" target=""_blank"">Verified by Public Record</a>",01/07/2020,,,10028,,,,1910,,20,,,
"895 Park Ave, Unit 8/9B",895 Park Ave,Upper East Side,Manhattan,"$12,250,000",,15,6,8,7.5,7,1,,"$14,225","$14,225",,Co-op,,Co-op,Sold,88,07/31/2020,09/05/2019,"$13,500,000","$13,500,000",12/02/2019,"$12,250,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012900822001"" target=""_blank"">Verified by Public Record</a>",01/27/2020,,,10075,,,,1930,"Doorman, Full-Time Doorman",37,,,
"315 E 68th St, Unit 9T",315 E 68th St,Upper East Side,Manhattan,"$800,000",$970,3,1,1,1,1,,825,"$1,615","$1,615",,Co-op,,Co-op,Sold,57,11/01/2019,09/05/2019,"$839,900","$825,000",,"$800,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600654001"" target=""_blank"">Verified by Public Record</a>",01/24/2020,,,10065,,,"Deck
Roof Deck
Common Roof Deck",1931,Full-Time Doorman,289,,,
"300 E 85th St, Unit 903/904",The America,Upper East Side,Manhattan,"$1,640,000","$1,262",5,3,3,2.5,2,1,"1,300","$3,169","$3,169",,Condop,,Condop,Sold,84,01/21/2020,06/13/2019,"$1,750,000","$1,675,000",09/05/2019,"$1,640,000",Unverified,01/08/2020,,,10028,,,"Balcony
Common Roof Deck
Private Outdoor Space",1987,"Doorman, Full-Time Doorman, Part-Time Doorman, Concierge",200,,,
"91 Leonard St, Unit 6G",91 Leonard,TriBeCa,Manhattan,"$2,732,168",,,,,,,,,,,,Condo,,Condo,Sold,,,,,,,"$2,732,168","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011300464001"" target=""_blank"">Public Record Only</a>",01/09/2020,,,10013,,,"Common Roof Deck
Common Outdoor Space",2016,Concierge,111,,,
"160 E 65th St, Unit 15A",160 E 65th St,Upper East Side,Manhattan,"$530,000",,3,1,1,1,1,,,"$1,191","$1,191",,Co-op,,Co-op,Sold,,02/13/2020,07/18/2019,"$575,000","$575,000",09/18/2019,"$530,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021000368001"" target=""_blank"">Verified by Public Record</a>",02/04/2020,,,10065,,,,1968,"Doorman, Full-Time Doorman, Concierge",180,,,
"35 E 85th St, Unit 6AN",35 E 85th St,Upper East Side,Manhattan,"$601,666",,3,Alcove,1,1,1,,,"$1,288","$1,288",,Co-op,,Co-op,Sold,115,07/27/2020,05/23/2019,"$645,000","$629,000",09/16/2019,"$601,666",Unverified,02/07/2020,,,10028,,,"Deck
Roof Deck
Common Roof Deck
Common Garden
Common Outdoor Space
Private Outdoor Space",1959,"Doorman, Full-Time Doorman, Concierge",154,,,
"225 E 73rd St, Unit 1H",The Eastgate,Upper East Side,Manhattan,"$775,000",$816,,1,,1,1,,950,"$1,842","$1,842",,Co-op,,Co-op,Sold,,,,,,,"$775,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020052900493001"" target=""_blank"">Public Record Only</a>",01/16/2020,,,10021,,,Common Roof Deck,1932,Full-Time Doorman,88,,,
"350 E 82nd St, Unit 12F",Wellington Tower,Upper East Side,Manhattan,"$635,000","$1,024",2,Studio,1,1,1,,620,$678,"$1,573",$895,Condo,,Condo,Sold,80,11/21/2019,05/12/2019,"$649,000","$649,000",08/01/2019,"$635,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012701190001"" target=""_blank"">Verified by Public Record</a>",01/24/2020,,,10028,,,Common Roof Deck,1998,"Doorman, Full-Time Doorman, Concierge",148,,,
"350 E 82nd St, Unit 12F",Wellington Tower,Upper East Side,Manhattan,"$635,000","$1,024",2,Studio,1,1,1,,620,$678,"$1,573",$895,Condo,,Condo,Sold,,01/29/2021,11/13/2019,"$649,000","$649,000",11/13/2019,"$635,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012701190001"" target=""_blank"">Verified by Public Record</a>",01/24/2020,,,10028,,,"Common Roof Deck
Private Outdoor Space",1998,"Doorman, Full-Time Doorman, Concierge",148,,,
"35 E 85th St, Unit 15AN",35 E 85th St,Upper East Side,Manhattan,"$725,000",,3,Alcove,1,1,1,,,"$1,386","$1,386",,Co-op,,Co-op,Sold,55,07/27/2020,09/13/2019,"$790,000","$725,000",11/07/2019,"$725,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020500264001"" target=""_blank"">Verified by Public Record</a>",02/04/2020,,,10028,,,"Private Roof Deck
Roof Deck
Common Roof Deck
Common Garden
Common Outdoor Space
Private Outdoor Space",1959,"Doorman, Full-Time Doorman, Concierge",154,,,
"311 E 75th St, Unit 3B",Sandgate,Upper East Side,Manhattan,"$305,000",$718,2,Studio,1,1,1,,425,$820,$820,,Co-op,,Co-op,Sold,32,02/04/2020,09/30/2019,"$305,000","$305,000",11/01/2019,"$305,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012101112001"" target=""_blank"">Verified by Public Record</a>",01/23/2020,,,10021,,,,1930,,64,,,
"860 5th Ave, Unit 11AG",860 5th Ave,Upper East Side,Manhattan,"$5,750,000",,7,3,4,4,4,,,"$6,560","$6,560",,Co-op,,Co-op,Sold,203,01/28/2020,03/20/2019,"$6,750,000","$6,495,000",10/09/2019,"$5,750,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011700534001"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10065,,,"Private Terrace
Common Garden
Common Outdoor Space
Private Outdoor Space",1950,"Full-Time Doorman, Concierge",157,,,
"563 Park Ave, Unit 12E/SR10",563 Park Ave,Upper East Side,Manhattan,"$3,150,000",,5,3,2,2,2,,,"$6,561","$6,561",,Co-op,,Co-op,Sold,202,02/12/2020,04/10/2018,"$3,950,000","$3,150,000",,"$3,150,000",Unverified,02/12/2020,,,10065,,,"Balcony
Juliet Balcony
Private Outdoor Space",1910,Full-Time Doorman,20,,,
"527 W 27th St, Unit 5A",Jardim,Chelsea,Manhattan,"$5,155,000","$2,371",6,3,4,3.5,3,1,"2,174","$3,315","$7,277","$3,962",Condo,,Condo,Sold,,01/29/2021,06/12/2017,"$5,575,000","$5,575,000",06/12/2017,"$5,155,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012900573002"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10001,,,"Juliet Balcony
Roof Deck
Common Roof Deck
Common Garden
Common Outdoor Space
Private Outdoor Space",2017,"Full-Time Doorman, Concierge",36,,,
"201 E 66th St, Unit 16G",201 E 66th St,Upper East Side,Manhattan,"$465,000",,3,Alcove,1,1,1,,,"$1,016","$1,016",,Co-op/Co-Operative,,Co-op,Sold,173,07/30/2020,05/02/2019,"$515,000","$485,000",10/22/2019,"$465,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012801266001"" target=""_blank"">Verified by Public Record</a>",01/24/2020,,,10065,,,,1961,"Doorman, Full-Time Doorman",256,,,
"17 E 84th St, Unit 6B",17 E 84th St,Upper East Side,Manhattan,"$1,225,000",,6,2,2,1.5,1,1,,"$2,945","$2,945",,Co-op,,Co-op,Sold,95,02/18/2020,06/20/2019,"$1,300,000","$1,300,000",10/28/2019,"$1,225,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600425001"" target=""_blank"">Verified by Public Record</a>",01/28/2020,,,10028,,,,1925,,21,,,
"1050 5th Ave, Unit 8F",1050 5th Ave,Upper East Side,Manhattan,"$3,450,000",,7,3,4,3.5,3,1,,"$4,855","$4,855",,Co-op,,Co-op,Sold,211,10/10/2019,03/11/2019,"$4,500,000","$3,950,000",10/08/2019,"$3,450,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012900681001"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10028,,,,1960,"Doorman, Full-Time Doorman",90,,,
"1050 5th Ave, Unit 8F",1050 5th Ave,Upper East Side,Manhattan,"$3,450,000",,7,3,4,3.5,3,1,,"$4,855","$4,855",,Co-op,,Co-op,Sold,310,02/06/2020,03/11/2019,"$4,500,000","$3,950,000",,"$3,450,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012900681001"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10028,,,,1960,"Doorman, Full-Time Doorman",90,,,
"570 Broome St, Unit 12A",570 Broome,Hudson Square,Manhattan,"$1,690,284","$2,108",3,1,1,1,1,,802,$858,"$2,178","$1,320",Condo,,Condo,Sold,143,08/01/2019,12/13/2018,"$1,850,000","$1,850,000",05/06/2019,"$1,690,284","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011000857002"" target=""_blank"">Verified by Public Record</a>",01/07/2020,,,10013,,,"Common Garden
Common Outdoor Space
Private Outdoor Space",2019,"Doorman, Full-Time Doorman",54,,,
"315 E 80th St, Unit 2J",315 E 80th St,Upper East Side,Manhattan,"$600,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$600,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600605001"" target=""_blank"">Public Record Only</a>",01/27/2020,,,10075,,,,1928,,60,,,
"565 Broome St, Unit N9D",565 Broome Soho,Hudson Square,Manhattan,"$2,213,277","$2,419",3,1,2,1.5,1,1,915,"$1,356","$2,852","$1,496",Condo,,Condo,Sold,"1,198",02/16/2020,08/30/2016,"$2,380,000","$2,295,000",12/11/2019,"$2,213,277","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600384002"" target=""_blank"">Verified by Public Record</a>",01/23/2020,,,10013,,,"Roof Deck
Common Roof Deck
Common Outdoor Space",2019,"Doorman, Full-Time Doorman, Concierge",115,,,
"215 W 75th St, Unit 7E",Majestic Towers,Upper West Side,Manhattan,"$325,000",$619,3,Studio,1,1,1,,525,"$1,180","$1,180",,Co-op,,Co-op,Sold,219,01/14/2020,11/05/2018,"$675,000","$399,000",08/21/2019,"$325,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010900742001"" target=""_blank"">Verified by Public Record</a>",01/06/2020,,,10023,,,"Deck
Common Roof Deck",1924,Part-Time Doorman,106,,,
"160 E 26th St, Unit PHG",160 E 26th St,Kips Bay,Manhattan,"$899,000",,3,1,2,2,2,,,"$1,705","$1,705",,Co-op,,Co-op,Sold,,02/21/2020,10/02/2019,"$899,000","$899,000",10/31/2019,"$899,000",Unverified,01/19/2020,,,10010,,,"Common Outdoor Space
Private Outdoor Space",1925,,48,,,
"160 E 26th St, Unit 6G",160 E 26th St,Kips Bay,Manhattan,"$800,000",,3,1,2,2,2,,,"$1,705","$1,705",,Co-op,,Co-op,Sold,175,10/01/2019,04/09/2019,"$1,100,000","$949,000",,"$800,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021200735001"" target=""_blank"">Verified by Public Record</a>",01/29/2020,,,10010,,,"Private Terrace
Common Roof Deck
Common Outdoor Space
Private Outdoor Space",1925,,48,,,
"27 W 72nd St, Unit 615",The Olcott,Upper West Side,Manhattan,"$1,700,000","$1,685",,2,,2,2,,"1,009","$1,156","$2,306","$1,150",Condo,,Condo,Sold,,,,,,,"$1,700,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010901297003"" target=""_blank"">Public Record Only</a>",01/02/2020,,,10023,,,,1924,"Full-Time Doorman, Concierge",158,,,
"311 E 75th St, Unit 5E",Sandgate,Upper East Side,Manhattan,"$530,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$530,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010901148001"" target=""_blank"">Public Record Only</a>",01/09/2020,,,10021,,,,1930,,64,,,
"174 E 74th St, Unit 1B",174 E 74th St,Upper East Side,Manhattan,"$900,000",,,,,,,,,,,,Commercial,,Other,Sold,,,,,,,"$900,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019123100770001"" target=""_blank"">Public Record Only</a>",01/08/2020,,,10021,,"10,710 SF / 102.17' x 104.83'",,1966,Full-Time Doorman,120,,,
"315 E 68th St, Unit 9DE",315 E 68th St,Upper East Side,Manhattan,"$2,010,000",,6,3,3,3,3,,,"$3,208","$3,208",,Co-op,,Co-op,Sold,142,02/04/2020,05/28/2019,"$2,290,000","$2,100,000",10/17/2019,"$2,010,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020013000391001"" target=""_blank"">Verified by Public Record</a>",01/21/2020,,,10065,,,"Private Roof Deck
Roof Deck
Common Roof Deck
Common Garden
Common Outdoor Space
Private Outdoor Space",1931,"Full-Time Doorman, Concierge",289,,,
"710 Park Ave, Unit 1A",710 Park Ave,Upper East Side,Manhattan,"$412,500",,,,,,,,,,,,Commercial,,Other,Sold,,,,,,,"$412,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021100402001"" target=""_blank"">Public Record Only</a>",02/07/2020,,,10021,,"12,552 SF / 100.42' x 125'",,1948,"Full-Time Doorman, Concierge",84,,,
"331 W 71st St, Unit 2 3 4",331 W 71st St,Upper West Side,Manhattan,"$3,775,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$3,775,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021100136001"" target=""_blank"">Public Record Only</a>",02/10/2020,,,10023,,,Common Outdoor Space,1900,,2,,,
"825 5th Ave, Unit 7AB",825 5th Ave,Upper East Side,Manhattan,"$4,500,000",,4,2,3,2.5,2,1,,"$9,185","$9,185",,Co-op,,Co-op,Sold,297,01/14/2020,01/28/2019,"$5,900,000","$5,000,000",11/21/2019,"$4,500,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011300247001"" target=""_blank"">Verified by Public Record</a>",01/07/2020,,,10065,,,"Common Garden
Common Outdoor Space",1927,"Full-Time Doorman, Concierge",64,,,
"1 W End Ave, Unit 22H",1 W End Ave,Upper West Side,Manhattan,"$1,875,000","$2,040",3,1,2,1.5,1,1,919,"$1,058","$1,239",$182,Condominium/Residential/Condo,Condo,Condo,Sold,159,01/27/2020,06/13/2019,"$2,099,990","$1,900,000",11/19/2019,"$1,875,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012100390003"" target=""_blank"">Verified by Public Record</a>",01/14/2020,,,10023,,,"Common Roof Deck
Barbecue Area
Common Garden
Common Outdoor Space",2017,"Doorman, Full-Time Doorman, Concierge",,,,
"167 E 67th St, Unit 14C",167 E 67th St,Upper East Side,Manhattan,"$1,415,000",,5,2,2,2,2,,,"$1,956","$1,956",,Co-op,,Co-op,Sold,,02/20/2020,10/25/2019,"$1,480,000","$1,480,000",11/14/2019,"$1,415,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021300129001"" target=""_blank"">Verified by Public Record</a>",02/12/2020,,,10065,,,,1960,"Doorman, Full-Time Doorman",96,,,
"765 Park Ave, Unit MR9",765 Park Ave,Upper East Side,Manhattan,"$430,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$430,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011501188001"" target=""_blank"">Public Record Only</a>",01/24/2020,,,10021,,,,1927,"Full-Time Doorman, Concierge",48,,,
"215 E 80th St, Unit 5E",215 E 80th St,Upper East Side,Manhattan,"$918,000",$932,,2,,1,,,985,"$1,052","$1,741",$689,Condo,,Condo,Sold,,,,,,,"$918,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011400464002"" target=""_blank"">Public Record Only</a>",01/10/2020,,,10075,,,,1963,Full-Time Doorman,145,,,
"200 E 89th St, Unit 15A",The Monarch,Upper East Side,Manhattan,"$746,000","$1,318",3,1,1,1,1,,566,$656,"$1,422",$766,Condo,,Condo,Sold,42,02/25/2020,10/11/2019,"$725,000","$725,000",11/22/2019,"$746,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021700237002"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10128,,,"Balcony
Common Roof Deck
Private Outdoor Space",1987,"Full-Time Doorman, Concierge",253,,,
"46 White St, Unit 6",WOODS MERCANTILE BUILDINGS,TriBeCa,Manhattan,"$5,575,000",$954,,,,,,,"5,844",,,,Condo,,Condo,Sold,,,,,,,"$5,575,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020013100884001"" target=""_blank"">Public Record Only</a>",01/17/2020,,,10013,,,,1900,,5,,,
"444 E 84th St, Unit 5H",444 E 84th St,Upper East Side,Manhattan,"$485,000",$882,3,Studio,1,1,1,,550,"$1,148","$1,148",,Co-op,,Co-op,Sold,136,07/27/2020,04/11/2019,"$525,000","$500,000",08/26/2019,"$485,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010900249001"" target=""_blank"">Verified by Public Record</a>",01/06/2020,,,10028,,,"Common Garden
Common Outdoor Space",1964,"Doorman, Full-Time Doorman",95,,,
"957 Lexington Ave, Unit 1A",957 Lexington Ave,Upper East Side,Manhattan,"$535,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$535,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030300305001"" target=""_blank"">Public Record Only</a>",02/04/2020,,,10021,,,,,,,,,
"220 E 67th St, Unit 14F",220 E 67th St,Upper East Side,Manhattan,"$400,000",,3,Alcove,1,1,1,,,"$1,571","$1,571",,Co-op,,Co-op,Sold,100,01/21/2020,07/25/2019,"$399,000","$399,000",12/16/2019,"$400,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010701173001"" target=""_blank"">Verified by Public Record</a>",01/08/2020,,,10065,,,"Deck
Common Roof Deck",1964,Full-Time Doorman,115,,,
"239 E 79th St, Unit 12C",239 E 79th St,Upper East Side,Manhattan,"$1,226,000",,,2,,1,1,,,"$2,181","$2,181",,Co-op,,Co-op,Sold,,,,,,,"$1,226,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600473001"" target=""_blank"">Public Record Only</a>",02/04/2020,,,10075,,,Common Roof Deck,1957,Full-Time Doorman,208,,,
"150 W End Ave, Unit 12P",Lincoln Towers,Upper West Side,Manhattan,"$565,000","$1,054",2,Studio,,1,,,536,"$1,089","$1,089",,Co-op,,Co-op,Sold,119,01/17/2020,09/05/2019,"$595,000","$585,000",01/02/2020,"$565,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011000765001"" target=""_blank"">Verified by Public Record</a>",01/14/2020,,,10023,,,,1963,"Full-Time Doorman, Concierge",454,,,
"527 W 27th St, Unit 8A",Jardim,Chelsea,Manhattan,"$6,900,000","$2,465",7,3,4,3.5,3,1,"2,799","$4,832","$8,785","$3,953",Condo,,Condo,Sold,94,02/04/2020,09/10/2019,"$8,750,000","$8,750,000",12/13/2019,"$6,900,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012400390005"" target=""_blank"">Verified by Public Record</a>",01/21/2020,,,10001,,,"Private Terrace
Roof Deck
Common Roof Deck
Common Garden
Common Outdoor Space",2017,Concierge,36,,,
"389 E 89th St, Unit 24B",389 E 89th St,Upper East Side,Manhattan,"$2,050,000","$1,464",4,2,2,2,2,,"1,400","$1,471","$3,638","$2,167",Condo,,Condo,Sold,199,02/18/2020,05/28/2019,"$2,449,000","$2,205,000",12/13/2019,"$2,050,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022000563004"" target=""_blank"">Verified by Public Record</a>",02/10/2020,,,10128,,,"Deck
Roof Deck
Common Roof Deck
Barbecue Area
Common Garden
Common Outdoor Space",2002,"Full-Time Doorman, Concierge",156,,,
"330 3rd Ave, Unit 12J",330 3rd Ave,Kips Bay,Manhattan,"$495,000",$825,3,Alcove,1,1,1,,600,"$1,335","$1,335",,Co-op,,Co-op,Sold,212,01/27/2020,03/27/2019,"$575,000","$525,000",10/25/2019,"$495,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012700850001"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10010,,,Common Roof Deck,1964,"Doorman, Full-Time Doorman",206,,,
"126 W 73rd St, Unit LA",126 W 73rd St,Upper West Side,Manhattan,"$285,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$285,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011700414001"" target=""_blank"">Public Record Only</a>",01/14/2020,,,10023,,,,1915,,40,,,
"520 E 81st St, Unit 4F",The Salem House,Upper East Side,Manhattan,"$524,500","$1,153",3,Alcove,1,1,1,,455,$640,"$1,170",$530,Condo,,Condo,Sold,158,02/26/2020,07/29/2019,"$549,500","$539,500",,"$524,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022400688001"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10028,,,"Deck
Roof Deck
Common Roof Deck",1964,"Doorman, Full-Time Doorman",163,,,
"527 W 27th St, Unit 5A",Jardim,Chelsea,Manhattan,"$5,155,000","$2,371",6,3,4,3.5,3,1,"2,174","$3,433","$6,242","$2,809",Condo,,Townhouse/Condo/Single Family,Sold,79,12/31/2020,09/25/2019,"$5,575,000","$5,575,000",12/13/2019,"$5,155,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012900573002"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10001,0' x 0',,"Balcony
Juliet Balcony
Private Terrace
Roof Deck
Common Roof Deck
Common Garden
Common Outdoor Space
Private Outdoor Space",2017,"Doorman, Full-Time Doorman, Concierge",36,,,
