Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,,
"145 E 15th St, Unit 10T",Gramercy Arms,Gramercy,Manhattan,"$775,000",,2,1,1,1,1,,,"$1,508","$1,508",,Co-op,,Co-op,Sold,45,02/06/2020,10/03/2019,"$815,000","$795,000",11/18/2019,"$775,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022100062001"" target=""_blank"">Verified by Public Record</a>",02/06/2020,,,10003,,,Balcony,1959,"Doorman, Full-Time Doorman",248,,,
"329 W 19th St, Unit 3",329 West 19th Street,Chelsea,Manhattan,"$1,285,000",,3,1,2,1.5,1,1,,"$1,184","$1,184",,Co-op,,Co-op,Sold,41,01/24/2020,09/30/2019,"$1,295,000","$1,295,000",11/11/2019,"$1,285,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030300421001"" target=""_blank"">Verified by Public Record</a>",02/07/2020,,,10011,,,"Private Terrace
Deck
Common Outdoor Space",1920,,5,,,
"200 E 16th St, Unit 10M",200 East Owners Corp.,Gramercy,Manhattan,"$550,000",,2,Alcove,,1,,,,$983,$983,,Co-op,,Co-op,Sold,35,01/23/2020,10/09/2019,"$565,000","$565,000",11/14/2019,"$550,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012800151001"" target=""_blank"">Verified by Public Record</a>",01/22/2020,,,10003,,,Common Outdoor Space,1930,Full-Time Doorman,190,,,
"69 Perry St, Unit 5",69 Perry St,West Village,Manhattan,"$2,650,000","$2,120",5,2,2,2,2,,"1,250","$1,450","$1,450",,Co-op,,Co-op,Sold,35,01/16/2020,10/07/2019,"$2,500,000","$2,500,000",11/11/2019,"$2,650,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011600393001"" target=""_blank"">Verified by Public Record</a>",01/14/2020,,,10014,,,,1878,,10,,,
"3 Gramercy Park W, Unit 1F",3 Gramercy Park W,Gramercy,Manhattan,"$900,000",,2,Alcove,1,1,1,,,$820,$820,,Co-op,,Co-op,Sold,5,02/17/2020,11/08/2019,"$985,000","$985,000",12/02/2019,"$900,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022600400001"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10003,,,,1920,,5,,,
"107 W 89th St, Unit GA",107 W 89th St,Upper West Side,Manhattan,"$2,395,000","$1,198",6,3,3,3,3,,"2,000","$1,269","$3,465","$2,196",,,Condo,Sold,205,02/07/2020,04/11/2019,"$2,995,000","$2,395,000",11/03/2019,"$2,395,000",Unverified,02/07/2020,,,10024,,,"Private Yard
Back Yard",1989,Concierge,26,,,
"200 E 16th St, Unit 11GH",200 East Owners Corp.,Gramercy,Manhattan,"$1,375,000",,5,2,2,2,2,,,"$1,989","$1,989",,Co-op,,Co-op,Sold,56,02/11/2020,09/12/2019,"$1,500,000","$1,395,000",11/07/2019,"$1,375,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021200062001"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10003,,,Common Outdoor Space,1930,Full-Time Doorman,190,,,
"275 Greenwich St, Unit 3FS",Greenwich Court,TriBeCa,Manhattan,"$975,000",,4,1,1,1,1,,,$795,"$1,688",$892,Condo,,Condo,Sold,211,02/10/2020,05/15/2019,"$1,295,000","$1,045,000",12/13/2019,"$975,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021900720001"" target=""_blank"">Verified by Public Record</a>",02/07/2020,,,10007,,,"Roof Deck
Common Roof Deck",1987,Full-Time Doorman,129,,,
"53 Horatio St, Unit TH1",53 Horatio St,West Village,Manhattan,"$2,500,000",,4,2,4,4,4,,,"$1,952","$1,952",,,,Co-op,Sold,71,01/30/2020,09/10/2019,"$2,750,000","$2,500,000",11/20/2019,"$2,500,000",Unverified,01/30/2020,,,10014,,,,1929,,6,,,
57 Sullivan St,57 Sullivan St,SoHo,Manhattan,"$5,220,000","$1,351",10,4,4,4,4,,"3,864",,$938,$938,House/Building,Undefined Multi Family|All Multi Family/Three Family/All Multi Family,Townhouse/Multi Family,Sold,559,02/05/2020,05/30/2018,"$7,750,000","$5,500,000",12/10/2019,"$5,220,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020013000413001"" target=""_blank"">Verified by Public Record</a>",01/22/2020,,,10012,21' x 46',"1,260 SF / 21' x 60'",Private Yard,1901,,3,,,
"215 E 73rd St, Unit 5A",215 E 73rd St,Upper East Side,Manhattan,"$1,480,000",,5,3,3,3,3,,,"$3,774","$3,774",,Co-op,,Co-op,Sold,11,02/03/2020,10/18/2019,"$1,495,000","$1,495,000",10/30/2019,"$1,480,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021200824001"" target=""_blank"">Verified by Public Record</a>",01/31/2020,,,10021,,,,1930,"Doorman, Full-Time Doorman",71,,,
"211 Elizabeth St, Unit PH",211 Elizabeth St,NoLita,Manhattan,"$8,225,000",,5,2,3,2.5,2,1,,"$5,267","$8,723","$3,456",Condo,,Condo,Sold,182,02/05/2020,07/15/2019,"$8,950,000","$8,950,000",01/13/2020,"$8,225,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021000148001"" target=""_blank"">Verified by Public Record</a>",02/04/2020,,,10012,,,"Roof Deck
Common Roof Deck
Common Outdoor Space",2007,"Doorman, Full-Time Doorman, Concierge",15,,,
"160 W End Ave, Unit 3G",Lincoln Towers,Upper West Side,Manhattan,"$480,000",,1,Alcove,1,,1,,,"$1,037","$1,037",,Co-op,,Co-op,Sold,36,02/01/2020,09/18/2019,"$485,000","$485,000",10/25/2019,"$480,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020400303001"" target=""_blank"">Verified by Public Record</a>",01/31/2020,,,10023,,,,1963,"Full-Time Doorman, Concierge",508,,,
"20 E 9th St, Unit 4P",The Brevoort East,Greenwich Village,Manhattan,"$1,485,000","$1,485",3,1,1,1,1,,"1,000","$1,960","$1,960",,Co-op,,Co-op,Sold,100,02/03/2020,05/23/2019,"$1,649,000","$1,549,000",10/10/2019,"$1,485,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020013100887001"" target=""_blank"">Verified by Public Record</a>",02/03/2020,,,10003,,,"Private Terrace
Roof Deck
Common Roof Deck
Common Garden",1964,"Full-Time Doorman, Concierge",298,,,
"115 E 9th St, Unit 16A",The St. Mark,Greenwich Village,Manhattan,"$1,850,000",,6,3,2,2,2,,,"$2,548","$2,548",,Co-op,,Co-op,Sold,83,11/06/2019,08/14/2019,"$1,995,000","$1,995,000",11/06/2019,"$1,850,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021800825001"" target=""_blank"">Verified by Public Record</a>",02/03/2020,,,10003,,,,1965,Full-Time Doorman,260,,,
"11 5th Ave, Unit 9S",The Brevoort,Greenwich Village,Manhattan,"$1,162,500",,3,1,1,1,1,,,"$1,922","$1,922",,Co-op,,Co-op,Sold,99,02/18/2020,07/15/2019,"$1,275,000","$1,195,000",10/22/2019,"$1,162,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020031100396001"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10003,,,"Common Garden
Common Outdoor Space",1955,"Doorman, Full-Time Doorman, Concierge",267,,,
"23 E 10th St, Unit PH",The Albert,Greenwich Village,Manhattan,"$5,250,000",,6,3,3,2.5,2,1,,"$6,750","$6,750",,,,Co-op,Sold,,07/08/2020,,,"$5,500,000",09/26/2019,"$5,250,000",Unverified,01/10/2020,,,10003,,,"Private Terrace
Roof Deck
Common Roof Deck",1882,Full-Time Doorman,205,,,
